"Type","Breed1","Gender","Color1","Color2","Color3","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","VideoAmt","PhotoAmt","AdoptionSpeed","AgeYears","NumColors","AllMeds"
"1","20","2","1","7","0","2","1","1","1","1","1",1,0,0,3,"3",2,"2",3
"1","20","1","1","2","5","2","2","3","1","3","1",1,0,0,3,"1",3,"3",7
"1","20","1","1","2","7","3","1","3","3","1","1",1,0,0,5,"3",5,"3",7
"1","20","2","1","2","7","2","1","1","1","3","1",1,0,0,2,"0",1,"3",5
"1","20","2","1","2","7","2","2","1","1","1","1",1,0,0,11,"4",2,"3",3
"1","20","2","3","5","0","2","1","1","1","2","1",1,0,0,1,"3",9,"2",4
"1","20","2","1","2","7","2","1","3","3","3","1",1,0,0,2,"3",2,"3",9
"1","20","1","1","2","7","2","1","1","1","2","1",1,0,0,5,"1",0,"3",4
"1","20","1","1","2","7","2","1","1","1","2","1",1,0,0,1,"2",1,"3",4
"1","20","2","1","2","7","2","1","1","1","2","1",1,100,0,0,"0",2,"3",4
"1","20","2","5","7","0","2","1","1","1","1","1",1,0,0,3,"0",0,"2",3
"1","20","2","1","2","7","2","1","3","3","3","1",1,0,0,1,"3",2,"3",9
"1","20","2","1","2","7","2","1","1","1","1","1",1,100,0,1,"4",7,"3",3
"1","20","2","1","2","7","2","1","1","1","3","1",1,0,0,4,"0",1,"3",5
"1","20","2","1","4","7","2","1","1","1","1","1",1,0,0,3,"4",10,"3",3
"1","20","1","1","2","7","2","1","1","1","3","1",1,80,0,1,"1",5,"3",5
"1","20","1","1","2","7","1","1","1","1","1","1",1,0,0,7,"3",5,"3",3
"1","20","2","2","4","7","2","2","1","1","3","1",1,0,0,0,"3",6,"3",5
"1","20","1","2","7","0","2","1","1","1","1","1",1,0,0,2,"3",6,"2",3
"1","20","1","1","2","7","2","2","3","3","2","1",1,0,0,1,"2",3,"3",8
"1","20","1","1","2","7","2","1","1","1","1","1",1,350,0,1,"4",3,"3",3
"1","20","1","2","5","0","1","1","2","1","2","1",1,0,0,2,"0",0,"2",5
"1","20","2","1","2","7","2","1","2","2","2","1",1,0,0,2,"2",1,"3",6
"1","20","1","1","2","7","2","1","1","1","1","1",1,0,0,1,"1",2,"3",3
"1","20","1","1","2","0","2","1","1","1","1","1",1,0,0,5,"3",2,"2",3
"1","20","3","2","5","7","1","1","2","2","1","1",2,0,0,3,"2",0,"3",5
"1","20","2","1","2","7","2","1","1","1","2","1",1,0,0,3,"2",2,"3",4
"1","20","1","1","2","7","2","1","1","1","2","1",1,550,0,3,"4",3,"3",4
"1","20","1","1","2","7","2","1","2","2","2","2",1,200,0,4,"1",4,"3",6
"1","20","1","1","7","0","2","3","1","3","1","1",1,200,0,3,"2",0,"2",5
"1","20","2","1","2","7","2","1","1","1","1","1",1,0,0,2,"1",4,"3",3
"1","20","2","2","4","7","2","1","3","3","3","1",1,0,0,1,"3",6,"3",9
"1","20","1","1","2","7","2","2","1","1","2","1",1,0,0,1,"3",6,"3",4
"1","20","1","1","2","7","2","2","2","2","2","1",1,0,0,1,"4",6,"3",6
"1","20","1","2","7","0","3","2","1","3","3","1",1,0,0,2,"1",1,"2",7
"1","20","1","1","2","7","2","1","1","1","2","1",1,300,0,1,"3",2,"3",4
"1","20","2","1","2","7","2","1","3","3","3","1",1,350,0,2,"2",3,"3",9
"1","20","1","1","2","7","2","1","1","1","1","1",1,250,0,6,"3",5,"3",3
"1","20","1","1","2","7","2","1","3","3","1","1",1,0,0,3,"1",3,"3",7
"1","20","1","2","7","0","1","1","2","2","2","1",1,0,0,2,"1",0,"2",6
"1","20","2","2","7","0","2","1","2","1","2","1",1,0,0,7,"2",0,"2",5
"1","20","1","1","2","7","2","1","1","1","1","1",1,0,0,3,"2",1,"3",3
"1","20","2","1","2","3","2","2","1","1","1","1",1,0,0,1,"3",6,"3",3
"1","20","2","2","0","0","2","1","3","3","2","1",1,0,0,3,"3",0,"1",8
"1","20","3","1","2","7","2","1","2","1","2","1",2,0,0,3,"3",0,"3",5
"1","20","2","2","0","0","2","1","1","1","3","1",1,120,0,8,"3",0,"1",5
"1","20","2","1","2","7","2","1","1","2","3","1",1,200,0,3,"1",2,"3",6
"1","20","1","2","7","0","1","1","3","3","3","1",1,0,0,0,"0",2,"2",9
"1","20","2","1","2","7","2","1","1","1","1","1",1,500,0,10,"3",1,"3",3
"1","20","2","1","2","0","2","1","1","1","1","1",1,250,0,3,"2",3,"2",3
"1","20","1","1","2","7","2","1","1","1","1","1",1,200,0,3,"2",7,"3",3
"1","20","1","2","5","7","2","1","1","1","1","1",1,0,0,1,"1",2,"3",3
"1","20","1","1","4","7","2","1","1","1","1","1",1,0,0,2,"1",3,"3",3
"1","20","1","1","2","7","2","2","3","2","3","1",1,0,0,2,"1",4,"3",8
"1","20","2","1","2","7","1","1","1","1","1","1",1,300,0,1,"1",1,"3",3
"1","20","1","1","2","7","2","1","3","3","3","1",1,0,0,5,"3",0,"3",9
"1","20","2","1","2","7","2","1","1","1","2","1",1,0,0,3,"3",0,"3",4
"1","20","1","2","7","0","2","1","3","3","2","1",1,0,0,4,"4",2,"2",8
"1","20","1","2","0","0","2","1","2","1","2","1",1,0,0,1,"1",0,"1",5
"1","20","2","1","2","0","2","1","1","1","1","1",1,0,0,5,"3",1,"2",3
"1","20","1","3","7","0","2","1","1","3","1","1",1,0,0,2,"4",2,"2",5
"1","20","1","1","2","7","2","1","1","1","1","1",1,0,0,2,"4",1,"3",3
"1","20","1","2","5","7","2","2","2","1","2","1",1,0,0,0,"4",6,"3",5
"1","20","2","1","2","7","2","1","1","1","1","1",1,0,0,4,"3",7,"3",3
"2","21","1","1","3","6","2","1","2","2","2","1",5,0,0,5,"3",0,"3",6
"1","23","2","2","0","0","1","3","1","1","1","2",1,250,0,2,"2",4,"1",3
"1","24","3","1","2","7","2","2","2","2","2","1",6,0,0,1,"1",0,"3",6
"1","24","1","2","0","0","2","2","3","1","2","1",1,0,0,1,"2",5,"1",6
"1","25","2","2","0","0","3","2","1","1","2","1",1,0,0,1,"1",1,"1",4
"2","25","2","6","0","0","1","1","2","1","2","1",1,0,0,2,"4",0,"1",5
"2","25","3","1","3","6","2","1","2","2","2","1",2,0,0,0,"4",0,"3",6
"1","26","2","1","2","0","2","2","1","1","1","1",1,250,0,9,"4",2,"2",3
"1","26","1","1","2","0","3","1","1","1","2","1",1,0,0,4,"3",0,"2",4
"1","26","2","1","2","0","2","2","1","3","1","1",1,0,0,3,"2",0,"2",5
"1","26","1","2","0","0","2","1","3","3","2","1",1,0,0,3,"3",0,"1",8
"1","26","1","1","2","0","3","1","1","1","2","1",1,0,0,5,"3",0,"2",4
"1","26","1","1","2","0","2","1","3","3","2","1",1,0,0,3,"2",0,"2",8
"1","26","2","1","2","0","3","2","1","1","1","2",1,600,0,4,"4",7,"2",3
"1","26","1","2","0","0","3","1","3","3","2","2",1,0,0,3,"2",5,"1",8
"1","26","2","1","2","0","2","2","1","1","3","1",1,0,0,3,"1",0,"2",5
"1","26","2","2","0","0","2","2","1","1","2","1",1,0,0,4,"4",6,"1",4
"1","26","2","1","2","0","4","1","1","1","2","1",1,0,0,3,"3",0,"2",4
"1","26","1","1","2","7","2","2","1","1","2","1",1,0,0,4,"2",0,"3",4
"1","26","2","1","2","0","2","2","3","3","2","1",1,0,0,4,"2",0,"2",8
"1","26","1","1","2","7","3","1","1","1","2","1",1,0,0,1,"1",0,"3",4
"1","26","2","1","2","5","2","1","1","2","2","1",1,100,0,1,"1",0,"3",5
"1","26","1","2","0","0","2","2","1","1","3","1",1,0,0,3,"4",2,"1",5
"1","26","2","1","2","0","3","2","3","3","3","1",1,0,0,1,"1",3,"2",9
"1","26","2","2","0","0","4","2","1","3","2","1",1,0,0,1,"1",0,"1",6
"1","26","1","1","2","0","3","1","1","1","2","1",1,0,0,3,"3",0,"2",4
"1","26","2","1","2","5","2","2","1","1","2","1",1,150,0,6,"1",0,"3",4
"1","26","1","1","2","0","2","1","1","1","2","1",1,0,0,3,"1",0,"2",4
"1","26","1","2","0","0","3","2","1","1","1","1",1,0,0,1,"2",1,"1",3
"1","26","3","1","2","3","2","2","2","2","2","1",8,0,0,15,"1",0,"3",6
"1","26","1","1","2","7","2","1","1","1","3","1",1,0,0,2,"1",0,"3",5
"1","26","1","1","2","3","2","1","1","1","1","1",1,0,0,13,"1",3,"3",3
"1","26","1","1","2","0","2","1","3","3","2","1",1,0,0,4,"3",0,"2",8
"1","31","1","1","0","0","2","1","3","3","2","1",1,0,0,2,"2",0,"1",8
"1","31","2","1","2","0","2","1","3","3","2","1",1,0,0,3,"3",0,"2",8
"1","31","2","1","7","0","2","1","1","1","2","1",1,0,0,4,"2",0,"2",4
"1","31","2","1","0","0","2","1","3","3","2","1",1,0,0,4,"2",0,"1",8
"1","31","1","1","2","0","2","1","2","2","2","1",1,0,0,1,"1",0,"2",6
"1","31","1","1","7","0","2","3","1","1","2","1",1,0,0,0,"4",2,"2",4
"1","31","2","1","0","0","2","1","3","3","2","1",1,0,0,2,"2",0,"1",8
"1","31","1","1","7","0","2","1","3","3","2","1",1,0,0,2,"3",0,"2",8
"1","32","1","1","2","7","2","1","2","1","2","1",1,0,0,4,"2",0,"3",5
"1","32","1","1","3","0","2","1","2","1","2","1",1,0,0,3,"2",0,"2",5
"1","32","1","1","2","0","2","1","1","1","2","1",1,100,2,6,"2",0,"2",4
"1","39","1","1","7","0","2","2","1","1","2","1",1,0,0,2,"3",0,"2",4
"1","39","1","1","0","0","2","2","2","2","2","1",1,200,0,5,"2",0,"1",6
"1","39","3","1","5","7","2","1","2","1","2","1",4,0,5,5,"1",0,"3",5
"1","39","2","1","7","0","2","2","1","1","1","1",1,200,0,1,"3",0,"2",3
"1","39","2","1","7","0","2","2","1","1","1","1",1,30,1,10,"3",1,"2",3
"1","39","1","1","7","0","2","3","3","3","1","1",1,0,0,3,"1",2,"2",7
"1","39","2","1","7","0","2","3","1","1","1","1",1,0,0,1,"4",0,"2",3
"1","39","2","1","7","0","2","2","1","1","1","1",1,0,0,3,"3",1,"2",3
"1","39","2","1","2","7","2","2","1","1","3","1",4,0,0,5,"1",2,"3",5
"1","39","2","1","5","7","2","2","2","2","2","1",1,200,0,5,"1",0,"3",6
"1","39","2","1","7","0","2","2","2","2","2","1",1,200,0,5,"2",0,"2",6
"1","39","2","2","7","0","2","2","1","1","1","1",1,0,0,1,"3",2,"2",3
"1","39","2","1","2","5","2","2","2","2","2","1",1,200,0,8,"2",0,"3",6
"1","39","2","1","7","0","2","3","1","1","1","1",1,0,0,14,"3",1,"2",3
"1","39","2","1","5","7","2","2","2","1","2","1",1,0,0,9,"3",0,"3",5
"1","39","2","1","7","0","2","1","1","1","1","1",1,0,0,3,"4",2,"2",3
"1","39","2","1","7","0","2","3","1","1","1","1",1,0,0,2,"4",2,"2",3
"1","39","2","1","7","0","2","1","2","2","2","1",1,0,0,5,"3",0,"2",6
"1","39","2","1","7","0","2","2","1","1","1","1",1,0,0,1,"1",5,"2",3
"1","39","1","1","7","0","2","3","2","1","1","1",1,0,0,2,"1",2,"2",4
"1","39","2","1","2","7","2","1","1","1","1","1",1,0,0,8,"4",1,"3",3
"1","39","3","1","2","7","2","2","3","3","3","1",6,0,0,7,"2",0,"3",9
"1","39","1","1","2","7","2","1","1","1","2","1",2,0,0,8,"2",0,"3",4
"1","39","1","1","7","0","2","1","1","1","2","1",2,0,0,6,"3",0,"2",4
"1","39","2","4","5","7","2","2","2","1","1","1",1,100,0,2,"3",2,"3",4
"1","39","2","2","7","0","2","2","1","1","1","1",1,0,0,3,"2",1,"2",3
"1","42","2","1","7","0","1","1","1","1","1","1",1,350,0,5,"3",2,"2",3
"1","42","1","5","0","0","2","1","1","1","1","1",1,0,0,3,"4",1,"1",3
"1","42","2","4","5","0","1","1","2","1","2","1",1,300,0,9,"2",0,"2",5
"1","42","2","1","7","0","1","1","1","1","1","1",1,250,0,3,"2",1,"2",3
"1","42","2","1","7","0","1","2","1","1","2","1",1,350,1,9,"1",0,"2",4
"1","44","1","1","2","7","3","1","1","1","1","1",1,0,0,10,"3",3,"3",3
"1","44","2","1","2","7","3","1","3","2","3","1",2,450,0,5,"4",0,"3",8
"1","44","1","1","2","7","3","1","1","1","2","1",1,0,0,1,"2",1,"3",4
"1","44","2","3","7","0","2","1","3","3","2","1",1,0,0,2,"1",0,"2",8
"1","44","2","2","3","7","3","1","1","1","2","1",2,0,0,3,"2",5,"3",4
"1","44","1","1","5","0","2","1","3","3","2","1",1,0,0,2,"2",0,"2",8
"1","44","2","2","7","0","2","1","1","1","1","1",1,0,0,2,"4",1,"2",3
"1","44","3","2","0","0","1","1","2","2","2","1",2,150,0,1,"1",0,"1",6
"1","44","2","2","0","0","2","1","3","3","3","1",1,0,0,2,"4",1,"1",9
"1","44","2","2","5","7","2","2","1","1","1","1",1,0,0,4,"4",1,"3",3
"1","49","1","2","7","0","2","2","2","2","2","1",1,0,0,3,"2",0,"2",6
"1","49","2","7","0","0","2","1","3","3","3","1",1,0,0,1,"4",7,"1",9
"1","49","1","1","2","7","2","1","1","1","1","1",1,0,0,4,"3",4,"3",3
"1","49","2","7","0","0","1","1","1","1","2","1",1,0,0,2,"3",1,"1",4
"1","49","1","1","2","7","3","1","1","1","1","1",1,0,0,1,"4",6,"3",3
"1","49","2","7","0","0","2","1","1","1","1","1",1,0,0,1,"4",7,"1",3
"1","49","3","2","7","0","2","1","1","1","1","1",2,0,0,1,"1",2,"2",3
"1","49","1","5","0","0","3","3","1","1","2","1",1,0,0,4,"4",2,"1",4
"1","49","1","7","0","0","2","1","1","1","1","1",1,200,0,2,"3",2,"1",3
"1","49","2","2","7","0","2","1","2","2","2","1",1,0,0,3,"2",0,"2",6
"1","49","1","2","7","0","2","1","1","1","1","1",1,120,0,10,"2",1,"2",3
"1","49","3","1","2","4","1","2","2","2","2","1",8,0,0,5,"3",0,"3",6
"1","49","2","1","2","7","2","1","1","1","1","1",1,0,0,5,"1",1,"3",3
"1","49","2","5","0","0","2","1","1","1","1","1",1,0,0,5,"3",2,"1",3
"1","49","1","2","0","0","2","1","3","3","3","1",1,0,0,1,"1",5,"1",9
"1","49","2","1","5","7","2","2","1","2","1","1",1,50,0,2,"2",2,"3",4
"1","50","1","1","2","0","4","1","1","1","2","1",1,0,0,2,"2",3,"2",4
"1","50","1","1","7","0","2","1","2","2","2","1",1,0,0,6,"3",0,"2",6
"1","50","1","5","6","7","3","1","1","1","1","1",1,0,0,5,"4",5,"3",3
"1","50","3","2","0","0","3","1","3","3","3","1",2,0,0,2,"1",2,"1",9
"1","50","2","2","0","0","2","1","2","2","2","1",1,0,0,2,"3",0,"1",6
"1","50","2","2","0","0","2","1","2","2","2","1",1,0,0,3,"2",0,"1",6
"1","50","1","1","0","0","2","1","2","2","2","1",1,0,0,6,"2",0,"1",6
"1","50","1","2","0","0","2","1","2","2","2","1",1,0,0,4,"3",0,"1",6
"1","50","3","1","2","4","2","1","2","2","2","1",6,0,0,2,"4",0,"3",6
"1","50","2","2","0","0","2","1","2","2","2","1",1,0,0,4,"1",0,"1",6
"1","50","1","3","0","0","3","1","1","1","1","1",1,0,0,2,"3",3,"1",3
"1","50","1","2","0","0","3","1","1","1","1","1",1,300,0,2,"1",1,"1",3
"1","56","1","1","2","7","1","2","2","2","2","1",1,250,0,10,"3",0,"3",6
"1","58","1","2","3","7","2","3","1","1","1","1",1,0,0,14,"4",7,"3",3
"1","58","2","2","7","0","1","1","1","1","3","1",1,0,0,2,"1",8,"2",5
"1","60","2","2","7","0","1","1","1","1","3","1",1,250,0,6,"3",3,"2",5
"1","60","1","1","5","0","1","2","1","1","2","1",1,200,0,3,"3",1,"2",4
"1","60","2","2","0","0","1","1","3","3","2","1",1,250,0,5,"4",0,"1",8
"1","60","1","5","7","0","1","1","1","1","2","1",1,50,0,3,"3",1,"2",4
"1","60","2","2","0","0","1","1","1","1","2","1",1,500,0,1,"3",0,"1",4
"1","60","3","1","2","7","1","1","1","1","1","1",2,0,0,4,"3",5,"3",3
"1","60","2","6","0","0","1","1","3","3","3","1",1,0,0,2,"2",1,"1",9
"1","60","1","2","0","0","2","1","2","2","1","1",1,0,0,3,"4",4,"1",5
"1","60","2","2","0","0","1","1","2","2","2","1",1,0,1,2,"3",0,"1",6
"1","60","1","2","0","0","1","1","1","1","2","2",1,0,0,3,"1",3,"1",4
"1","60","2","1","3","0","1","1","3","3","3","1",1,0,0,2,"3",1,"2",9
"1","60","2","3","7","0","1","2","1","1","2","1",1,0,0,3,"1",1,"2",4
"1","60","2","1","4","7","1","1","1","1","2","1",1,0,0,4,"2",10,"3",4
"1","60","3","2","0","0","1","1","1","1","2","1",2,0,0,5,"1",0,"1",4
"1","60","1","2","7","0","1","1","1","1","1","1",1,500,0,9,"3",1,"2",3
"1","60","3","2","7","0","1","2","1","1","1","2",4,385,0,5,"2",2,"2",3
"1","60","2","1","0","0","1","1","3","3","2","1",1,0,0,4,"1",4,"1",8
"1","60","2","5","0","0","1","1","3","3","3","1",1,0,0,4,"1",4,"1",9
"1","60","2","1","7","0","1","1","1","1","2","1",1,100,0,6,"1",5,"2",4
"1","60","2","5","7","0","1","1","1","1","1","1",1,0,0,3,"4",1,"2",3
"1","60","2","1","3","7","1","2","1","1","1","1",1,400,0,9,"2",3,"3",3
"1","60","1","7","0","0","1","3","1","1","1","1",1,0,0,1,"2",0,"1",3
"1","60","2","3","6","7","1","1","1","1","1","1",1,50,0,5,"1",4,"3",3
"1","60","2","2","7","0","1","2","1","1","2","1",1,100,0,2,"1",5,"2",4
"1","60","1","5","0","0","1","1","1","1","2","2",1,0,0,2,"4",2,"1",4
"1","60","1","5","7","0","1","1","1","1","2","1",1,200,0,3,"3",2,"2",4
"1","60","3","1","3","0","2","1","1","1","2","1",2,0,0,4,"1",0,"2",4
"1","60","1","1","2","7","1","1","1","1","2","1",1,450,0,4,"2",3,"3",4
"1","60","2","4","7","0","2","1","3","3","3","1",1,0,0,2,"2",10,"2",9
"1","60","1","1","2","0","1","1","1","2","2","1",2,0,0,2,"2",2,"2",5
"1","60","3","5","7","0","2","1","1","1","2","1",2,0,3,6,"3",0,"2",4
"1","60","1","1","3","0","1","1","2","2","2","1",2,0,0,2,"2",0,"2",6
"1","60","2","5","7","0","1","1","1","1","1","1",1,100,0,3,"1",4,"2",3
"1","60","1","2","0","0","1","1","1","1","2","1",1,0,1,6,"2",7,"1",4
"1","60","1","7","0","0","1","3","1","1","1","1",1,0,0,2,"2",5,"1",3
"1","60","2","2","0","0","2","1","2","2","1","1",1,0,0,1,"4",1,"1",5
"1","60","2","2","7","0","1","1","1","1","2","1",1,0,0,6,"2",0,"2",4
"1","61","1","1","3","7","1","2","1","1","1","1",1,0,0,1,"0",3,"3",3
"1","64","3","2","5","0","2","1","2","1","2","1",4,0,0,8,"3",0,"2",5
"1","65","1","2","3","0","1","3","3","3","1","1",1,0,0,1,"1",1,"2",7
"1","65","2","5","0","0","3","2","1","1","1","1",1,5,0,0,"1",1,"1",3
"1","65","1","2","0","0","2","3","3","1","2","1",1,0,0,5,"1",1,"1",6
"1","69","2","2","0","0","1","1","2","2","2","1",1,0,0,3,"1",0,"1",6
"1","69","2","2","0","0","2","2","1","1","1","1",1,350,0,2,"3",2,"1",3
"1","69","2","1","7","0","1","2","1","1","1","1",1,0,0,5,"3",3,"2",3
"1","69","1","2","0","0","2","2","1","1","2","1",1,200,0,0,"2",4,"1",4
"1","69","1","3","0","0","2","3","1","1","2","1",1,300,0,3,"3",2,"1",4
"1","69","1","2","3","0","2","2","3","3","2","1",1,0,0,1,"4",7,"2",8
"1","69","1","3","5","0","2","3","1","1","1","1",1,180,0,3,"1",5,"2",3
"1","69","3","1","2","7","2","1","2","2","2","1",2,100,0,6,"3",0,"3",6
"1","69","2","3","5","0","1","2","1","1","1","1",1,200,0,8,"4",4,"2",3
"1","69","2","5","0","0","2","3","1","1","2","2",1,0,0,4,"3",5,"1",4
"1","69","2","2","0","0","2","2","1","1","2","1",2,0,0,2,"1",4,"1",4
"1","69","1","2","0","0","1","3","1","1","1","1",1,0,0,3,"1",9,"1",3
"1","69","2","2","3","5","2","3","1","1","2","1",1,0,0,2,"1",1,"3",4
"1","69","1","1","0","0","2","2","1","1","2","1",1,100,0,1,"2",0,"1",4
"1","69","1","1","2","0","2","2","1","1","2","1",1,100,0,1,"2",0,"2",4
"1","69","2","3","5","0","2","2","3","3","3","1",1,100,0,1,"2",2,"2",9
"1","69","2","2","5","0","1","2","1","1","1","1",1,0,0,6,"1",2,"2",3
"1","69","1","5","7","0","2","3","3","3","2","1",1,0,0,2,"3",7,"2",8
"1","69","2","2","3","0","1","3","1","3","3","2",1,0,0,3,"2",4,"2",7
"1","69","1","2","4","5","2","3","2","1","2","1",1,0,0,1,"1",1,"3",5
"1","69","1","5","0","0","2","2","1","1","1","1",1,0,0,5,"4",4,"1",3
"1","69","1","5","0","0","2","3","1","1","2","1",1,200,0,3,"1",1,"1",4
"1","69","2","3","0","0","2","2","1","1","2","1",1,0,0,3,"3",1,"1",4
"1","69","2","2","5","0","1","2","1","1","1","1",1,0,0,11,"0",8,"2",3
"1","69","1","3","0","0","2","3","3","3","3","1",1,0,0,5,"3",14,"1",9
