"","Type","Gender","Color1","Color2","Color3","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","VideoAmt","PhotoAmt","AdoptionSpeed","breedname","AgeYears","NumColors","AllMeds","purebreed"
"14","Dog","Female","Brown","White",NA,"Medium","Short","Yes","Yes","Yes","Minor Injury",1,0,NA,2,"3","American Staffordshire Terrier",2,"2","3","Yes"
"15","Dog","Female","White",NA,NA,"Medium","Long","No","No","No","Healthy",1,0,NA,4,"4","American Water Spaniel",0,"1","6","Yes"
"16","Dog","Female","Brown",NA,NA,"Medium","Medium","No","No","No","Healthy",1,0,NA,4,"4","American Water Spaniel",0,"1","6","Yes"
"17","Dog","Female","Brown","Gray","White","Medium","Short","No","No","No","Healthy",1,0,NA,3,"1","Australian Kelpie",0,"3","6","Yes"
"18","Dog","Female","Black","Brown",NA,"Medium","Medium","Yes","Not Sure","Not Sure","Healthy",1,0,NA,1,"4","Australian Kelpie",4,"2","7","Yes"
"19","Dog","Male","Black","Brown",NA,"Medium","Long","Yes","Yes","Yes","Healthy",1,0,NA,3,"4","Australian Kelpie",0,"2","3","Yes"
"20","Dog","Male","Black","White",NA,"Medium","Short","No","No","No","Healthy",1,0,NA,4,"3","Australian Kelpie",0,"2","6","Yes"
"21","Cat","Male","Black","White",NA,"Small","Short","No","No","No","Healthy",1,0,NA,1,"4","Australian Kelpie",0,"2","6","Yes"
"22","Dog","Female","Cream",NA,NA,"Medium","Short","No","No","No","Healthy",1,0,NA,3,"1","Australian Kelpie",0,"1","6","Yes"
"23","Dog","Mixed","Black","White",NA,"Medium","Short","No","No","No","Healthy",2,0,NA,3,"3","Australian Kelpie",0,"2","6","Yes"
"24","Dog","Male","Brown",NA,NA,"Medium","Short","No","No","No","Healthy",1,0,NA,2,"1","Australian Kelpie",0,"1","6","Yes"
"25","Dog","Female","Black","White",NA,"Medium","Short","No","No","No","Healthy",1,0,NA,3,"3","Australian Kelpie",0,"2","6","Yes"
"26","Dog","Female","Black","Brown",NA,"Medium","Medium","Yes","Yes","Not Sure","Healthy",1,100,NA,1,"4","Australian Shepherd",1,"2","5","Yes"
"27","Dog","Male","Black","Golden","Gray","Small","Medium","Not Sure","Yes","No","Healthy",1,0,NA,2,"3","Australian Terrier",3,"3","6","Yes"
"28","Dog","Male","Black","Brown",NA,"Small","Medium","Yes","Yes","No","Healthy",2,0,NA,1,"1","Australian Terrier",0,"2","4","Yes"
"29","Dog","Mixed","Black","Golden",NA,"Small","Medium","Yes","Yes","Yes","Healthy",2,0,NA,1,"4","Australian Terrier",7,"2","3","Yes"
"30","Dog","Male","Golden","Cream","White","Medium","Medium","Yes","Yes","No","Healthy",1,0,NA,1,"4","Australian Terrier",3,"3","4","Yes"
"31","Dog","Female","Brown","White",NA,"Large","Long","Yes","Yes","No","Healthy",1,0,NA,3,"3","Australian Terrier",0,"2","4","Yes"
"32","Dog","Female","Cream",NA,NA,"Small","Medium","Not Sure","Yes","Not Sure","Healthy",1,100,NA,4,"3","Australian Terrier",2,"1","7","Yes"
"33","Dog","Male","Black",NA,NA,"Medium","Medium","No","Yes","No","Healthy",1,0,NA,3,"2","Basenji",0,"1","5","Yes"
"34","Dog","Female","Brown",NA,NA,"Large","Medium","Yes","Yes","Yes","Healthy",1,0,NA,7,"3","Basenji",0,"1","3","Yes"
"35","Dog","Male","Brown",NA,NA,"Medium","Medium","No","No","Yes","Minor Injury",1,0,NA,1,"4","Basenji",4,"1","5","Yes"
"36","Dog","Female","Brown","White",NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,4,"2","Basenji",0,"2","8","Yes"
"37","Dog","Female","Black","Yellow","White","Small","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,4,"4","Basenji",0,"3","9","Yes"
"38","Dog","Female","Brown","White",NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,4,"3","Basenji",0,"2","8","Yes"
"39","Dog","Male","Black","Brown","White","Small","Short","Not Sure","Not Sure","Not Sure","Minor Injury",1,0,NA,3,"0","Basset Hound",1,"3","9","Yes"
"40","Dog","Female","Black","Brown","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,4,"3","Basset Hound",3,"3","9","Yes"
"41","Dog","Female","Brown","White",NA,"Medium","Medium","No","Yes","No","Healthy",1,0,NA,8,"3","Basset Hound",0,"2","5","Yes"
"42","Dog","Female","Brown","Cream",NA,"Medium","Short","Not Sure","Yes","Not Sure","Healthy",1,0,NA,1,"1","Basset Hound",2,"2","7","Yes"
"43","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,3,"1","Basset Hound",3,"3","4","Yes"
"44","Dog","Female","Brown","Cream","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,4,"3","Basset Hound",1,"3","4","Yes"
"45","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,300,NA,3,"2","Basset Hound",5,"3","3","Yes"
"46","Dog","Female","Brown","White",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,21,"3","Basset Hound",7,"2","3","Yes"
"47","Dog","Male","Brown","Golden","Yellow","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,2,"3","Basset Hound",8,"3","3","Yes"
"48","Dog","Male","Brown",NA,NA,"Medium","Short","Yes","Yes","No","Healthy",2,0,NA,1,"1","Beagle",10,"1","4","Yes"
"49","Dog","Male","Brown","Cream","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,0,"3","Beagle",2,"3","4","Yes"
"50","Dog","Female","Brown","White",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,10,"0","Beagle",2,"2","3","Yes"
"51","Dog","Male","Black","Yellow","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,5,"2","Beagle",5,"3","3","Yes"
"52","Dog","Female","Black","Brown","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,300,NA,1,"1","Beagle",0,"3","9","Yes"
"53","Dog","Female","Black","Brown","White","Medium","Medium","Yes","Yes","No","Healthy",1,0,NA,2,"2","Beagle",6,"3","4","Yes"
"54","Dog","Male","Black","Brown","White","Medium","Medium","No","Yes","No","Minor Injury",1,0,NA,5,"1","Beagle",5,"3","5","Yes"
"55","Dog","Male","Brown","White",NA,"Medium","Short","Not Sure","Not Sure","Yes","Healthy",1,300,NA,4,"3","Beagle",5,"2","7","Yes"
"56","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,300,NA,1,"3","Beagle",2,"3","3","Yes"
"57","Dog","Male","Black","Brown","White","Medium","Medium","Yes","Yes","Yes","Healthy",1,500,NA,0,"4","Beagle",4,"3","3","Yes"
"58","Dog","Male","Black","White",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,8,"4","Beagle",5,"2","3","Yes"
"59","Dog","Female","Cream",NA,NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,2,"4","Beagle",5,"1","3","Yes"
"60","Dog","Female","Brown","White",NA,"Medium","Medium","Yes","Yes","No","Healthy",1,0,NA,1,"1","Beagle",0,"2","4","Yes"
"61","Dog","Mixed","Black","Brown",NA,"Medium","Short","No","Yes","Not Sure","Healthy",3,0,NA,4,"2","Beagle",0,"2","6","Yes"
"62","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,NA,1,"1","Beagle",3,"3","5","Yes"
"63","Dog","Female","Black","Golden","White","Medium","Short","Not Sure","Not Sure","Not Sure","Minor Injury",1,0,NA,1,"1","Beagle",2,"3","9","Yes"
"64","Dog","Male","Black","Brown",NA,"Small","Medium","Yes","Yes","Not Sure","Healthy",1,0,NA,4,"1","Beagle",4,"2","5","Yes"
"65","Dog","Male","Brown","Cream","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,1,"2","Beagle",5,"3","4","Yes"
"66","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,300,NA,1,"3","Beagle",2,"3","4","Yes"
"67","Dog","Female","Brown","White",NA,"Medium","Short","Yes","Yes","No","Healthy",1,0,NA,3,"3","Beagle",0,"2","4","Yes"
"68","Dog","Male","Black","Brown","White","Medium","Medium","Yes","No","No","Healthy",1,0,NA,4,"1","Beagle",9,"3","5","Yes"
"69","Dog","Male","Brown",NA,NA,"Medium","Short","No","No","No","Healthy",1,0,NA,5,"1","Beagle",4,"1","6","Yes"
"70","Dog","Male","Brown","White",NA,"Medium","Short","Yes","Yes","No","Healthy",1,400,NA,1,"3","Beagle",3,"2","4","Yes"
"71","Dog","Female","Black","Brown","White","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,1,"1","Beagle",2,"3","8","Yes"
"72","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,3,"4","Beagle",1,"3","3","Yes"
"73","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,600,NA,1,"3","Beagle",0,"3","4","Yes"
"74","Dog","Female","Black","White",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,3,"3","Beagle",2,"2","3","Yes"
"75","Dog","Male","Black","Brown","Cream","Medium","Medium","Not Sure","Yes","Not Sure","Healthy",1,0,NA,3,"1","Beagle",3,"3","7","Yes"
"76","Dog","Male","Black","Brown","White","Large","Short","Not Sure","Not Sure","Yes","Healthy",1,0,NA,5,"3","Beagle",5,"3","7","Yes"
"77","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,NA,2,"0","Beagle",1,"3","5","Yes"
"78","Dog","Female","Black","Brown","White","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,NA,11,"4","Beagle",2,"3","3","Yes"
"79","Dog","Female","Golden","Cream",NA,"Medium","Short","Yes","Yes","No","Healthy",1,0,NA,1,"3","Beagle",9,"2","4","Yes"
"80","Dog","Female","Black","Brown","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,2,"3","Beagle",2,"3","9","Yes"
"81","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,5,"1","Beagle",0,"3","4","Yes"
"82","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,1,"2","Beagle",1,"3","4","Yes"
"83","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,100,NA,0,"0","Beagle",2,"3","4","Yes"
"84","Dog","Female","Cream","White",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,3,"0","Beagle",0,"2","3","Yes"
"85","Dog","Female","Black","Brown","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,1,"3","Beagle",2,"3","9","Yes"
"86","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,100,NA,1,"4","Beagle",7,"3","3","Yes"
"87","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,NA,4,"0","Beagle",1,"3","5","Yes"
"88","Dog","Female","Black","Yellow","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,3,"4","Beagle",10,"3","3","Yes"
"89","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Not Sure","Healthy",1,80,NA,1,"1","Beagle",5,"3","5","Yes"
"90","Dog","Male","Black","Brown","White","Small","Short","Yes","Yes","Yes","Healthy",1,0,NA,7,"3","Beagle",5,"3","3","Yes"
"91","Dog","Female","Brown","Yellow","White","Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,NA,0,"3","Beagle",6,"3","5","Yes"
"92","Dog","Male","Brown","White",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,2,"3","Beagle",6,"2","3","Yes"
"93","Dog","Male","Black","Brown","White","Medium","Medium","Not Sure","Not Sure","No","Healthy",1,0,NA,1,"2","Beagle",3,"3","8","Yes"
"94","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,350,NA,1,"4","Beagle",3,"3","3","Yes"
"95","Dog","Male","Brown","Cream",NA,"Small","Short","No","Yes","No","Healthy",1,0,NA,2,"0","Beagle",0,"2","5","Yes"
"96","Dog","Female","Black","Brown","White","Medium","Short","No","No","No","Healthy",1,0,NA,2,"2","Beagle",1,"3","6","Yes"
"97","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,1,"1","Beagle",2,"3","3","Yes"
"98","Dog","Male","Black","Brown",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,5,"3","Beagle",2,"2","3","Yes"
"99","Dog","Mixed","Brown","Cream","White","Small","Short","No","No","Yes","Healthy",2,0,NA,3,"2","Beagle",0,"3","5","Yes"
"100","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,3,"2","Beagle",2,"3","4","Yes"
"101","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,550,NA,3,"4","Beagle",3,"3","4","Yes"
"102","Dog","Male","Black","Brown","White","Medium","Short","No","No","No","Minor Injury",1,200,NA,4,"1","Beagle",4,"3","6","Yes"
"103","Dog","Male","Black","White",NA,"Medium","Long","Yes","Not Sure","Yes","Healthy",1,200,NA,3,"2","Beagle",0,"2","5","Yes"
"104","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,2,"1","Beagle",4,"3","3","Yes"
"105","Dog","Female","Brown","Yellow","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,1,"3","Beagle",6,"3","9","Yes"
"106","Dog","Male","Black","Brown","White","Medium","Medium","Yes","Yes","No","Healthy",1,0,NA,1,"3","Beagle",6,"3","4","Yes"
"107","Dog","Male","Black","Brown","White","Medium","Medium","No","No","No","Healthy",1,0,NA,1,"4","Beagle",6,"3","6","Yes"
"108","Dog","Male","Brown","White",NA,"Large","Medium","Yes","Not Sure","Not Sure","Healthy",1,0,NA,2,"1","Beagle",1,"2","7","Yes"
"109","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,300,NA,1,"3","Beagle",2,"3","4","Yes"
"110","Dog","Female","Black","Brown","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,350,NA,2,"2","Beagle",3,"3","9","Yes"
"111","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,250,NA,6,"3","Beagle",5,"3","3","Yes"
"112","Dog","Male","Black","Brown","White","Medium","Short","Not Sure","Not Sure","Yes","Healthy",1,0,NA,3,"1","Beagle",3,"3","7","Yes"
"113","Dog","Male","Brown","White",NA,"Small","Short","No","No","No","Healthy",1,0,NA,2,"1","Beagle",0,"2","6","Yes"
"114","Dog","Female","Brown","White",NA,"Medium","Short","No","Yes","No","Healthy",1,0,NA,7,"2","Beagle",0,"2","5","Yes"
"115","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,3,"2","Beagle",1,"3","3","Yes"
"116","Dog","Female","Black","Brown","Golden","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,NA,1,"3","Beagle",6,"3","3","Yes"
"117","Dog","Female","Brown",NA,NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,3,"3","Beagle",0,"1","8","Yes"
"118","Dog","Mixed","Black","Brown","White","Medium","Short","No","Yes","No","Healthy",2,0,NA,3,"3","Beagle",0,"3","5","Yes"
"119","Dog","Female","Brown",NA,NA,"Medium","Short","Yes","Yes","Not Sure","Healthy",1,120,NA,8,"3","Beagle",0,"1","5","Yes"
"120","Dog","Female","Black","Brown","White","Medium","Short","Yes","No","Not Sure","Healthy",1,200,NA,3,"1","Beagle",2,"3","6","Yes"
"121","Dog","Male","Brown","White",NA,"Small","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,0,"0","Beagle",2,"2","9","Yes"
"122","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,500,NA,10,"3","Beagle",1,"3","3","Yes"
"123","Dog","Female","Black","Brown",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,250,NA,3,"2","Beagle",3,"2","3","Yes"
"124","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,200,NA,3,"2","Beagle",7,"3","3","Yes"
"125","Dog","Male","Brown","Cream","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,1,"1","Beagle",2,"3","3","Yes"
"126","Dog","Male","Black","Yellow","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,2,"1","Beagle",3,"3","3","Yes"
"127","Dog","Male","Black","Brown","White","Medium","Medium","Not Sure","No","Not Sure","Healthy",1,0,NA,2,"1","Beagle",4,"3","8","Yes"
"128","Dog","Female","Black","Brown","White","Small","Short","Yes","Yes","Yes","Healthy",1,300,NA,1,"1","Beagle",1,"3","3","Yes"
"129","Dog","Male","Black","Brown","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,5,"3","Beagle",0,"3","9","Yes"
"130","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","No","Healthy",1,0,NA,3,"3","Beagle",0,"3","4","Yes"
"131","Dog","Male","Brown","White",NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,4,"4","Beagle",2,"2","8","Yes"
"132","Dog","Male","Brown",NA,NA,"Medium","Short","No","Yes","No","Healthy",1,0,NA,1,"1","Beagle",0,"1","5","Yes"
"133","Dog","Female","Black","Brown",NA,"Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,5,"3","Beagle",1,"2","3","Yes"
"134","Dog","Male","Golden","White",NA,"Medium","Short","Yes","Not Sure","Yes","Healthy",1,0,NA,2,"4","Beagle",2,"2","5","Yes"
"135","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,2,"4","Beagle",1,"3","3","Yes"
"136","Dog","Male","Brown","Cream","White","Medium","Medium","No","Yes","No","Healthy",1,0,NA,0,"4","Beagle",6,"3","5","Yes"
"137","Dog","Female","Black","Brown","White","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,4,"3","Beagle",7,"3","3","Yes"
"138","Cat","Male","Black","Golden","Gray","Medium","Short","No","No","No","Healthy",5,0,NA,5,"3","Bearded Collie",0,"3","6","Yes"
"139","Dog","Female","Brown",NA,NA,"Small","Long","Yes","Yes","Yes","Minor Injury",1,250,NA,2,"2","Bedlington Terrier",4,"1","3","Yes"
"140","Dog","Mixed","Black","Brown","White","Medium","Medium","No","No","No","Healthy",6,0,NA,1,"1","Belgian Shepherd Dog Sheepdog",0,"3","6","Yes"
"141","Dog","Male","Brown",NA,NA,"Medium","Medium","Not Sure","Yes","No","Healthy",1,0,NA,1,"2","Belgian Shepherd Dog Sheepdog",5,"1","6","Yes"
"142","Dog","Female","Brown",NA,NA,"Large","Medium","Yes","Yes","No","Healthy",1,0,NA,1,"1","Belgian Shepherd Laekenois",1,"1","4","Yes"
"143","Cat","Female","Gray",NA,NA,"Small","Short","No","Yes","No","Healthy",1,0,NA,2,"4","Belgian Shepherd Laekenois",0,"1","5","Yes"
"144","Cat","Mixed","Black","Golden","Gray","Medium","Short","No","No","No","Healthy",2,0,NA,0,"4","Belgian Shepherd Laekenois",0,"3","6","Yes"
"145","Dog","Female","Black","Brown",NA,"Medium","Medium","Yes","Yes","Yes","Healthy",1,250,NA,9,"4","Belgian Shepherd Malinois",2,"2","3","Yes"
"146","Dog","Male","Black","Brown",NA,"Large","Short","Yes","Yes","No","Healthy",1,0,NA,4,"3","Belgian Shepherd Malinois",0,"2","4","Yes"
"147","Dog","Female","Black","Brown",NA,"Medium","Medium","Yes","Not Sure","Yes","Healthy",1,0,NA,3,"2","Belgian Shepherd Malinois",0,"2","5","Yes"
"148","Dog","Male","Brown",NA,NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,3,"3","Belgian Shepherd Malinois",0,"1","8","Yes"
"149","Dog","Male","Black","Brown",NA,"Large","Short","Yes","Yes","No","Healthy",1,0,NA,5,"3","Belgian Shepherd Malinois",0,"2","4","Yes"
"150","Dog","Male","Black","Brown",NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,3,"2","Belgian Shepherd Malinois",0,"2","8","Yes"
"151","Dog","Female","Black","Brown",NA,"Large","Medium","Yes","Yes","Yes","Minor Injury",1,600,NA,4,"4","Belgian Shepherd Malinois",7,"2","3","Yes"
"152","Dog","Male","Brown",NA,NA,"Large","Short","Not Sure","Not Sure","No","Minor Injury",1,0,NA,3,"2","Belgian Shepherd Malinois",5,"1","8","Yes"
"153","Dog","Female","Black","Brown",NA,"Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,NA,3,"1","Belgian Shepherd Malinois",0,"2","5","Yes"
"154","Dog","Female","Brown",NA,NA,"Medium","Medium","Yes","Yes","No","Healthy",1,0,NA,4,"4","Belgian Shepherd Malinois",6,"1","4","Yes"
"155","Dog","Female","Black","Brown",NA,"Extra Large","Short","Yes","Yes","No","Healthy",1,0,NA,3,"3","Belgian Shepherd Malinois",0,"2","4","Yes"
"156","Dog","Male","Black","Brown","White","Medium","Medium","Yes","Yes","No","Healthy",1,0,NA,4,"2","Belgian Shepherd Malinois",0,"3","4","Yes"
"157","Dog","Female","Black","Brown",NA,"Medium","Medium","Not Sure","Not Sure","No","Healthy",1,0,NA,4,"2","Belgian Shepherd Malinois",0,"2","8","Yes"
"158","Dog","Male","Black","Brown","White","Large","Short","Yes","Yes","No","Healthy",1,0,NA,1,"1","Belgian Shepherd Malinois",0,"3","4","Yes"
"159","Dog","Female","Black","Brown","Cream","Medium","Short","Yes","No","No","Healthy",1,100,NA,1,"1","Belgian Shepherd Malinois",0,"3","5","Yes"
"160","Dog","Male","Brown",NA,NA,"Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,NA,3,"4","Belgian Shepherd Malinois",2,"1","5","Yes"
"161","Dog","Female","Black","Brown",NA,"Large","Medium","Not Sure","Not Sure","Not Sure","Healthy",1,0,NA,1,"1","Belgian Shepherd Malinois",3,"2","9","Yes"
"162","Dog","Female","Brown",NA,NA,"Extra Large","Medium","Yes","Not Sure","No","Healthy",1,0,NA,1,"1","Belgian Shepherd Malinois",0,"1","6","Yes"
"163","Dog","Male","Black","Brown",NA,"Large","Short","Yes","Yes","No","Healthy",1,0,NA,3,"3","Belgian Shepherd Malinois",0,"2","4","Yes"
"164","Dog","Female","Black","Brown","Cream","Medium","Medium","Yes","Yes","No","Healthy",1,150,NA,6,"1","Belgian Shepherd Malinois",0,"3","4","Yes"
"165","Dog","Male","Black","Brown",NA,"Medium","Short","Yes","Yes","No","Healthy",1,0,NA,3,"1","Belgian Shepherd Malinois",0,"2","4","Yes"
"166","Dog","Male","Brown",NA,NA,"Large","Medium","Yes","Yes","Yes","Healthy",1,0,NA,1,"2","Belgian Shepherd Malinois",1,"1","3","Yes"
"167","Dog","Mixed","Black","Brown","Golden","Medium","Medium","No","No","No","Healthy",8,0,NA,15,"1","Belgian Shepherd Malinois",0,"3","6","Yes"
"168","Dog","Male","Black","Brown","White","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,NA,2,"1","Belgian Shepherd Malinois",0,"3","5","Yes"
"169","Dog","Male","Black","Brown","Golden","Medium","Short","Yes","Yes","Yes","Healthy",1,0,NA,13,"1","Belgian Shepherd Malinois",3,"3","3","Yes"
"170","Dog","Male","Black","Brown",NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,4,"3","Belgian Shepherd Malinois",0,"2","8","Yes"
"171","Dog","Male","Black",NA,NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,2,"2","Labrador Retriever",0,"1","8","Yes"
"172","Dog","Female","Black","Brown",NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,3,"3","Labrador Retriever",0,"2","8","Yes"
"173","Dog","Female","Black","White",NA,"Medium","Short","Yes","Yes","No","Healthy",1,0,NA,4,"2","Labrador Retriever",0,"2","4","Yes"
"174","Dog","Female","Black",NA,NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,4,"2","Labrador Retriever",0,"1","8","Yes"
"175","Dog","Male","Black","Brown",NA,"Medium","Short","No","No","No","Healthy",1,0,NA,1,"1","Labrador Retriever",0,"2","6","Yes"
"176","Dog","Male","Black","White",NA,"Medium","Long","Yes","Yes","No","Healthy",1,0,NA,0,"4","Labrador Retriever",2,"2","4","Yes"
"177","Dog","Female","Black",NA,NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,2,"2","Labrador Retriever",0,"1","8","Yes"
"178","Dog","Male","Black","White",NA,"Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,NA,2,"3","Labrador Retriever",0,"2","8","Yes"
"179","Dog","Male","Black","Brown","White","Medium","Short","No","Yes","No","Healthy",1,0,NA,4,"2","Black Mouth Cur",0,"3","5","Yes"
"180","Dog","Male","Black","Golden",NA,"Medium","Short","No","Yes","No","Healthy",1,0,NA,3,"2","Black Mouth Cur",0,"2","5","Yes"
"181","Dog","Male","Black","Brown",NA,"Medium","Short","Yes","Yes","No","Healthy",1,100,2,6,"2","Black Mouth Cur",0,"2","4","Yes"
"182","Dog","Male","Black","White",NA,"Medium","Medium","Yes","Yes","No","Healthy",1,0,NA,2,"3","Border Collie",0,"2","4","Yes"
"183","Dog","Male","Black",NA,NA,"Medium","Medium","No","No","No","Healthy",1,200,NA,5,"2","Border Collie",0,"1","6","Yes"
