"","Gender","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","VideoAmt","PhotoAmt","AdoptionSpeed","breedname","AgeYears","NumColors","AllMeds","ColorName1","ColorName2","ColorName3","height_low_inches","height_high_inches","weight_low_lbs","weight_high_lbs","avg_weight","size","hypoallergenic"
"19","1","2","1","2","2","2","1",1,0,0,4,"1","Australian Kelpie",0,"2","6","Black","White",NA,NA,NA,NA,NA,NA,NA,"No"
"20","2","2","1","2","2","2","1",1,0,0,3,"1","Australian Kelpie",0,"1","6","Cream",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"21","3","2","1","2","2","2","1",2,0,0,3,"1","Australian Kelpie",0,"2","6","Black","White",NA,NA,NA,NA,NA,NA,NA,"No"
"22","1","2","1","2","2","2","1",1,0,0,2,"1","Australian Kelpie",0,"1","6","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"23","2","2","1","2","2","2","1",1,0,0,3,"1","Australian Kelpie",0,"2","6","Black","White",NA,NA,NA,NA,NA,NA,NA,"No"
"24","2","2","2","1","1","3","1",1,100,0,1,"1","Australian Shepherd",1,"2","5","Black","Brown",NA,18,23,40,60,50,"medium","No"
"25","1","1","2","3","1","2","1",1,0,0,2,"1","Australian Terrier",3,"3","6","Black","Golden","Gray",10,10,10,14,12,"small","No"
"26","1","1","2","1","1","2","1",2,0,0,1,"1","Australian Terrier",0,"2","4","Black","Brown",NA,10,10,10,14,12,"small","No"
"27","3","1","2","1","1","1","1",2,0,0,1,"1","Australian Terrier",7,"2","3","Black","Golden",NA,10,10,10,14,12,"small","No"
"28","1","2","2","1","1","2","1",1,0,0,1,"1","Australian Terrier",3,"3","4","Golden","Cream","White",10,10,10,14,12,"small","No"
"29","2","3","3","1","1","2","1",1,0,0,3,"1","Australian Terrier",0,"2","4","Brown","White",NA,10,10,10,14,12,"small","No"
"30","2","1","2","3","1","3","1",1,100,0,4,"1","Australian Terrier",2,"1","7","Cream",NA,NA,10,10,10,14,12,"small","No"
"31","1","2","2","2","1","2","1",1,0,0,3,"1","Basenji",0,"1","5","Black",NA,NA,17,17,20,22,21,"small","No"
"32","2","3","2","1","1","1","1",1,0,0,7,"1","Basenji",0,"1","3","Brown",NA,NA,17,17,20,22,21,"small","No"
"33","1","2","2","2","2","1","2",1,0,0,1,"1","Basenji",4,"1","5","Brown",NA,NA,17,17,20,22,21,"small","No"
"34","2","2","1","3","3","2","1",1,0,0,4,"1","Basenji",0,"2","8","Brown","White",NA,17,17,20,22,21,"small","No"
"35","2","1","1","3","3","3","1",1,0,0,4,"1","Basenji",0,"3","9","Black","Yellow","White",17,17,20,22,21,"small","No"
"36","2","2","1","3","3","2","1",1,0,0,4,"1","Basenji",0,"2","8","Brown","White",NA,17,17,20,22,21,"small","No"
"37","1","1","1","3","3","3","2",1,0,0,3,"0","Basset Hound",1,"3","9","Black","Brown","White",14,14,40,50,45,"medium","No"
"38","2","2","1","3","3","3","1",1,0,0,4,"1","Basset Hound",3,"3","9","Black","Brown","White",14,14,40,50,45,"medium","No"
"39","2","2","2","2","1","2","1",1,0,0,8,"1","Basset Hound",0,"2","5","Brown","White",NA,14,14,40,50,45,"medium","No"
"40","2","2","1","3","1","3","1",1,0,0,1,"1","Basset Hound",2,"2","7","Brown","Cream",NA,14,14,40,50,45,"medium","No"
"41","1","2","1","1","1","2","1",1,0,0,3,"1","Basset Hound",3,"3","4","Black","Brown","White",14,14,40,50,45,"medium","No"
"42","2","2","1","1","1","2","1",1,0,0,4,"1","Basset Hound",1,"3","4","Brown","Cream","White",14,14,40,50,45,"medium","No"
"43","2","2","1","1","1","1","1",1,300,0,3,"1","Basset Hound",5,"3","3","Black","Brown","White",14,14,40,50,45,"medium","No"
"44","2","2","1","1","1","1","1",1,0,0,21,"1","Basset Hound",7,"2","3","Brown","White",NA,14,14,40,50,45,"medium","No"
"45","1","2","1","1","1","1","1",1,0,0,2,"1","Basset Hound",8,"3","3","Brown","Golden","Yellow",14,14,40,50,45,"medium","No"
"46","1","2","1","1","1","2","1",2,0,0,1,"1","Beagle",10,"1","4","Brown",NA,NA,13,16,18,30,24,"small","No"
"47","1","2","1","1","1","2","1",1,0,0,0,"1","Beagle",2,"3","4","Brown","Cream","White",13,16,18,30,24,"small","No"
"48","2","2","1","1","1","1","1",1,0,0,10,"0","Beagle",2,"2","3","Brown","White",NA,13,16,18,30,24,"small","No"
"49","1","2","1","1","1","1","1",1,0,0,5,"1","Beagle",5,"3","3","Black","Yellow","White",13,16,18,30,24,"small","No"
"50","2","2","1","3","3","3","1",1,300,0,1,"1","Beagle",0,"3","9","Black","Brown","White",13,16,18,30,24,"small","No"
"51","2","2","2","1","1","2","1",1,0,0,2,"1","Beagle",6,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"52","1","2","2","2","1","2","2",1,0,0,5,"1","Beagle",5,"3","5","Black","Brown","White",13,16,18,30,24,"small","No"
"53","1","2","1","3","3","1","1",1,300,0,4,"1","Beagle",5,"2","7","Brown","White",NA,13,16,18,30,24,"small","No"
"54","1","2","1","1","1","1","1",1,300,0,1,"1","Beagle",2,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"55","1","2","2","1","1","1","1",1,500,0,0,"1","Beagle",4,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"56","1","2","1","1","1","1","1",1,0,0,8,"1","Beagle",5,"2","3","Black","White",NA,13,16,18,30,24,"small","No"
"57","2","2","1","1","1","1","1",1,0,0,2,"1","Beagle",5,"1","3","Cream",NA,NA,13,16,18,30,24,"small","No"
"58","2","2","2","1","1","2","1",1,0,0,1,"1","Beagle",0,"2","4","Brown","White",NA,13,16,18,30,24,"small","No"
"59","3","2","1","2","1","3","1",3,0,0,4,"1","Beagle",0,"2","6","Black","Brown",NA,13,16,18,30,24,"small","No"
"60","2","2","1","1","1","3","1",1,0,0,1,"1","Beagle",3,"3","5","Black","Brown","White",13,16,18,30,24,"small","No"
"61","2","2","1","3","3","3","2",1,0,0,1,"1","Beagle",2,"3","9","Black","Golden","White",13,16,18,30,24,"small","No"
"62","1","1","2","1","1","3","1",1,0,0,4,"1","Beagle",4,"2","5","Black","Brown",NA,13,16,18,30,24,"small","No"
"63","1","2","1","1","1","2","1",1,0,0,1,"1","Beagle",5,"3","4","Brown","Cream","White",13,16,18,30,24,"small","No"
"64","1","2","1","1","1","2","1",1,300,0,1,"1","Beagle",2,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"65","2","2","1","1","1","2","1",1,0,0,3,"1","Beagle",0,"2","4","Brown","White",NA,13,16,18,30,24,"small","No"
"66","1","2","2","1","2","2","1",1,0,0,4,"1","Beagle",9,"3","5","Black","Brown","White",13,16,18,30,24,"small","No"
"67","1","2","1","2","2","2","1",1,0,0,5,"1","Beagle",4,"1","6","Brown",NA,NA,13,16,18,30,24,"small","No"
"68","1","2","1","1","1","2","1",1,400,0,1,"1","Beagle",3,"2","4","Brown","White",NA,13,16,18,30,24,"small","No"
"69","2","2","1","3","3","2","1",1,0,0,1,"1","Beagle",2,"3","8","Black","Brown","White",13,16,18,30,24,"small","No"
"70","1","2","1","1","1","1","1",1,0,0,3,"1","Beagle",1,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"71","1","2","1","1","1","2","1",1,600,0,1,"1","Beagle",0,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"72","2","2","1","1","1","1","1",1,0,0,3,"1","Beagle",2,"2","3","Black","White",NA,13,16,18,30,24,"small","No"
"73","1","2","2","3","1","3","1",1,0,0,3,"1","Beagle",3,"3","7","Black","Brown","Cream",13,16,18,30,24,"small","No"
"74","1","3","1","3","3","1","1",1,0,0,5,"1","Beagle",5,"3","7","Black","Brown","White",13,16,18,30,24,"small","No"
"75","2","2","1","1","1","3","1",1,0,0,2,"0","Beagle",1,"3","5","Black","Brown","White",13,16,18,30,24,"small","No"
"76","2","2","2","1","1","1","1",1,0,0,11,"1","Beagle",2,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"77","2","2","1","1","1","2","1",1,0,0,1,"1","Beagle",9,"2","4","Golden","Cream",NA,13,16,18,30,24,"small","No"
"78","2","2","1","3","3","3","1",1,0,0,2,"1","Beagle",2,"3","9","Black","Brown","White",13,16,18,30,24,"small","No"
"79","1","2","1","1","1","2","1",1,0,0,5,"1","Beagle",0,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"80","1","2","1","1","1","2","1",1,0,0,1,"1","Beagle",1,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"81","2","2","1","1","1","2","1",1,100,0,0,"0","Beagle",2,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"82","2","2","1","1","1","1","1",1,0,0,3,"0","Beagle",0,"2","3","Cream","White",NA,13,16,18,30,24,"small","No"
"83","2","2","1","3","3","3","1",1,0,0,1,"1","Beagle",2,"3","9","Black","Brown","White",13,16,18,30,24,"small","No"
"84","2","2","1","1","1","1","1",1,100,0,1,"1","Beagle",7,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"85","2","2","1","1","1","3","1",1,0,0,4,"0","Beagle",1,"3","5","Black","Brown","White",13,16,18,30,24,"small","No"
"86","2","2","1","1","1","1","1",1,0,0,3,"1","Beagle",10,"3","3","Black","Yellow","White",13,16,18,30,24,"small","No"
"87","1","2","1","1","1","3","1",1,80,0,1,"1","Beagle",5,"3","5","Black","Brown","White",13,16,18,30,24,"small","No"
"88","1","1","1","1","1","1","1",1,0,0,7,"1","Beagle",5,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"89","2","2","2","1","1","3","1",1,0,0,0,"1","Beagle",6,"3","5","Brown","Yellow","White",13,16,18,30,24,"small","No"
"90","1","2","1","1","1","1","1",1,0,0,2,"1","Beagle",6,"2","3","Brown","White",NA,13,16,18,30,24,"small","No"
"91","1","2","2","3","3","2","1",1,0,0,1,"1","Beagle",3,"3","8","Black","Brown","White",13,16,18,30,24,"small","No"
"92","1","2","1","1","1","1","1",1,350,0,1,"1","Beagle",3,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"93","1","1","1","2","1","2","1",1,0,0,2,"0","Beagle",0,"2","5","Brown","Cream",NA,13,16,18,30,24,"small","No"
"94","2","2","1","2","2","2","1",1,0,0,2,"1","Beagle",1,"3","6","Black","Brown","White",13,16,18,30,24,"small","No"
"95","1","2","1","1","1","1","1",1,0,0,1,"1","Beagle",2,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"96","1","2","1","1","1","1","1",1,0,0,5,"1","Beagle",2,"2","3","Black","Brown",NA,13,16,18,30,24,"small","No"
"97","3","1","1","2","2","1","1",2,0,0,3,"1","Beagle",0,"3","5","Brown","Cream","White",13,16,18,30,24,"small","No"
"98","2","2","1","1","1","2","1",1,0,0,3,"1","Beagle",2,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"99","1","2","1","1","1","2","1",1,550,0,3,"1","Beagle",3,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"100","1","2","1","2","2","2","2",1,200,0,4,"1","Beagle",4,"3","6","Black","Brown","White",13,16,18,30,24,"small","No"
"101","1","2","3","1","3","1","1",1,200,0,3,"1","Beagle",0,"2","5","Black","White",NA,13,16,18,30,24,"small","No"
"102","2","2","1","1","1","1","1",1,0,0,2,"1","Beagle",4,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"103","2","2","1","3","3","3","1",1,0,0,1,"1","Beagle",6,"3","9","Brown","Yellow","White",13,16,18,30,24,"small","No"
"104","1","2","2","1","1","2","1",1,0,0,1,"1","Beagle",6,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"105","1","2","2","2","2","2","1",1,0,0,1,"1","Beagle",6,"3","6","Black","Brown","White",13,16,18,30,24,"small","No"
"106","1","3","2","1","3","3","1",1,0,0,2,"1","Beagle",1,"2","7","Brown","White",NA,13,16,18,30,24,"small","No"
"107","1","2","1","1","1","2","1",1,300,0,1,"1","Beagle",2,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"108","2","2","1","3","3","3","1",1,350,0,2,"1","Beagle",3,"3","9","Black","Brown","White",13,16,18,30,24,"small","No"
"109","1","2","1","1","1","1","1",1,250,0,6,"1","Beagle",5,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"110","1","2","1","3","3","1","1",1,0,0,3,"1","Beagle",3,"3","7","Black","Brown","White",13,16,18,30,24,"small","No"
"111","1","1","1","2","2","2","1",1,0,0,2,"1","Beagle",0,"2","6","Brown","White",NA,13,16,18,30,24,"small","No"
"112","2","2","1","2","1","2","1",1,0,0,7,"1","Beagle",0,"2","5","Brown","White",NA,13,16,18,30,24,"small","No"
"113","1","2","1","1","1","1","1",1,0,0,3,"1","Beagle",1,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"114","2","2","2","1","1","1","1",1,0,0,1,"1","Beagle",6,"3","3","Black","Brown","Golden",13,16,18,30,24,"small","No"
"115","2","2","1","3","3","2","1",1,0,0,3,"1","Beagle",0,"1","8","Brown",NA,NA,13,16,18,30,24,"small","No"
"116","3","2","1","2","1","2","1",2,0,0,3,"1","Beagle",0,"3","5","Black","Brown","White",13,16,18,30,24,"small","No"
"117","2","2","1","1","1","3","1",1,120,0,8,"1","Beagle",0,"1","5","Brown",NA,NA,13,16,18,30,24,"small","No"
"118","2","2","1","1","2","3","1",1,200,0,3,"1","Beagle",2,"3","6","Black","Brown","White",13,16,18,30,24,"small","No"
"119","1","1","1","3","3","3","1",1,0,0,0,"0","Beagle",2,"2","9","Brown","White",NA,13,16,18,30,24,"small","No"
"120","2","2","1","1","1","1","1",1,500,0,10,"1","Beagle",1,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"121","2","2","1","1","1","1","1",1,250,0,3,"1","Beagle",3,"2","3","Black","Brown",NA,13,16,18,30,24,"small","No"
"122","1","2","1","1","1","1","1",1,200,0,3,"1","Beagle",7,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"123","1","2","1","1","1","1","1",1,0,0,1,"1","Beagle",2,"3","3","Brown","Cream","White",13,16,18,30,24,"small","No"
"124","1","2","1","1","1","1","1",1,0,0,2,"1","Beagle",3,"3","3","Black","Yellow","White",13,16,18,30,24,"small","No"
"125","1","2","2","3","2","3","1",1,0,0,2,"1","Beagle",4,"3","8","Black","Brown","White",13,16,18,30,24,"small","No"
"126","2","1","1","1","1","1","1",1,300,0,1,"1","Beagle",1,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"127","1","2","1","3","3","3","1",1,0,0,5,"1","Beagle",0,"3","9","Black","Brown","White",13,16,18,30,24,"small","No"
"128","2","2","1","1","1","2","1",1,0,0,3,"1","Beagle",0,"3","4","Black","Brown","White",13,16,18,30,24,"small","No"
"129","1","2","1","3","3","2","1",1,0,0,4,"1","Beagle",2,"2","8","Brown","White",NA,13,16,18,30,24,"small","No"
"130","1","2","1","2","1","2","1",1,0,0,1,"1","Beagle",0,"1","5","Brown",NA,NA,13,16,18,30,24,"small","No"
"131","2","2","1","1","1","1","1",1,0,0,5,"1","Beagle",1,"2","3","Black","Brown",NA,13,16,18,30,24,"small","No"
"132","1","2","1","1","3","1","1",1,0,0,2,"1","Beagle",2,"2","5","Golden","White",NA,13,16,18,30,24,"small","No"
"133","1","2","1","1","1","1","1",1,0,0,2,"1","Beagle",1,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"134","1","2","2","2","1","2","1",1,0,0,0,"1","Beagle",6,"3","5","Brown","Cream","White",13,16,18,30,24,"small","No"
"135","2","2","1","1","1","1","1",1,0,0,4,"1","Beagle",7,"3","3","Black","Brown","White",13,16,18,30,24,"small","No"
"136","2","1","3","1","1","1","2",1,250,0,2,"1","Bedlington Terrier",4,"1","3","Brown",NA,NA,15,16,18,23,20.5,"small","Yes"
"137","3","2","2","2","2","2","1",6,0,0,1,"1","Belgian Shepherd Dog Sheepdog",0,"3","6","Black","Brown","White",NA,NA,NA,NA,NA,NA,"No"
"138","1","2","2","3","1","2","1",1,0,0,1,"1","Belgian Shepherd Dog Sheepdog",5,"1","6","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"139","2","3","2","1","1","2","1",1,0,0,1,"1","Belgian Shepherd Laekenois",1,"1","4","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"140","2","2","2","1","1","1","1",1,250,0,9,"1","Belgian Shepherd Malinois",2,"2","3","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"141","1","3","1","1","1","2","1",1,0,0,4,"1","Belgian Shepherd Malinois",0,"2","4","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"142","2","2","2","1","3","1","1",1,0,0,3,"1","Belgian Shepherd Malinois",0,"2","5","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"143","1","2","1","3","3","2","1",1,0,0,3,"1","Belgian Shepherd Malinois",0,"1","8","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"144","1","3","1","1","1","2","1",1,0,0,5,"1","Belgian Shepherd Malinois",0,"2","4","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"145","1","2","1","3","3","2","1",1,0,0,3,"1","Belgian Shepherd Malinois",0,"2","8","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"146","2","3","2","1","1","1","2",1,600,0,4,"1","Belgian Shepherd Malinois",7,"2","3","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"147","1","3","1","3","3","2","2",1,0,0,3,"1","Belgian Shepherd Malinois",5,"1","8","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"148","2","2","2","1","1","3","1",1,0,0,3,"1","Belgian Shepherd Malinois",0,"2","5","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"149","2","2","2","1","1","2","1",1,0,0,4,"1","Belgian Shepherd Malinois",6,"1","4","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"150","2","4","1","1","1","2","1",1,0,0,3,"1","Belgian Shepherd Malinois",0,"2","4","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"151","1","2","2","1","1","2","1",1,0,0,4,"1","Belgian Shepherd Malinois",0,"3","4","Black","Brown","White",NA,NA,NA,NA,NA,NA,"No"
"152","2","2","2","3","3","2","1",1,0,0,4,"1","Belgian Shepherd Malinois",0,"2","8","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"153","1","3","1","1","1","2","1",1,0,0,1,"1","Belgian Shepherd Malinois",0,"3","4","Black","Brown","White",NA,NA,NA,NA,NA,NA,"No"
"154","2","2","1","1","2","2","1",1,100,0,1,"1","Belgian Shepherd Malinois",0,"3","5","Black","Brown","Cream",NA,NA,NA,NA,NA,NA,"No"
"155","1","2","2","1","1","3","1",1,0,0,3,"1","Belgian Shepherd Malinois",2,"1","5","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"156","2","3","2","3","3","3","1",1,0,0,1,"1","Belgian Shepherd Malinois",3,"2","9","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"157","2","4","2","1","3","2","1",1,0,0,1,"1","Belgian Shepherd Malinois",0,"1","6","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"158","1","3","1","1","1","2","1",1,0,0,3,"1","Belgian Shepherd Malinois",0,"2","4","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"159","2","2","2","1","1","2","1",1,150,0,6,"1","Belgian Shepherd Malinois",0,"3","4","Black","Brown","Cream",NA,NA,NA,NA,NA,NA,"No"
"160","1","2","1","1","1","2","1",1,0,0,3,"1","Belgian Shepherd Malinois",0,"2","4","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"161","1","3","2","1","1","1","1",1,0,0,1,"1","Belgian Shepherd Malinois",1,"1","3","Brown",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"162","3","2","2","2","2","2","1",8,0,0,15,"1","Belgian Shepherd Malinois",0,"3","6","Black","Brown","Golden",NA,NA,NA,NA,NA,NA,"No"
"163","1","2","1","1","1","3","1",1,0,0,2,"1","Belgian Shepherd Malinois",0,"3","5","Black","Brown","White",NA,NA,NA,NA,NA,NA,"No"
"164","1","2","1","1","1","1","1",1,0,0,13,"1","Belgian Shepherd Malinois",3,"3","3","Black","Brown","Golden",NA,NA,NA,NA,NA,NA,"No"
"165","1","2","1","3","3","2","1",1,0,0,4,"1","Belgian Shepherd Malinois",0,"2","8","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"166","1","2","1","3","3","2","1",1,0,0,2,"1","Labrador Retriever",0,"1","8","Black",NA,NA,21,24,55,80,67.5,"large","No"
"167","2","2","1","3","3","2","1",1,0,0,3,"1","Labrador Retriever",0,"2","8","Black","Brown",NA,21,24,55,80,67.5,"large","No"
"168","2","2","1","1","1","2","1",1,0,0,4,"1","Labrador Retriever",0,"2","4","Black","White",NA,21,24,55,80,67.5,"large","No"
"169","2","2","1","3","3","2","1",1,0,0,4,"1","Labrador Retriever",0,"1","8","Black",NA,NA,21,24,55,80,67.5,"large","No"
"170","1","2","1","2","2","2","1",1,0,0,1,"1","Labrador Retriever",0,"2","6","Black","Brown",NA,21,24,55,80,67.5,"large","No"
"171","1","2","3","1","1","2","1",1,0,0,0,"1","Labrador Retriever",2,"2","4","Black","White",NA,21,24,55,80,67.5,"large","No"
"172","2","2","1","3","3","2","1",1,0,0,2,"1","Labrador Retriever",0,"1","8","Black",NA,NA,21,24,55,80,67.5,"large","No"
"173","1","2","1","3","3","2","1",1,0,0,2,"1","Labrador Retriever",0,"2","8","Black","White",NA,21,24,55,80,67.5,"large","No"
"174","1","2","1","2","1","2","1",1,0,0,4,"1","Black Mouth Cur",0,"3","5","Black","Brown","White",NA,NA,NA,NA,NA,NA,"No"
"175","1","2","1","2","1","2","1",1,0,0,3,"1","Black Mouth Cur",0,"2","5","Black","Golden",NA,NA,NA,NA,NA,NA,NA,"No"
"176","1","2","1","1","1","2","1",1,100,2,6,"1","Black Mouth Cur",0,"2","4","Black","Brown",NA,NA,NA,NA,NA,NA,NA,"No"
"177","1","2","2","1","1","2","1",1,0,0,2,"1","Border Collie",0,"2","4","Black","White",NA,19,21,40,40,40,"medium","No"
"178","1","2","2","2","2","2","1",1,200,0,5,"1","Border Collie",0,"1","6","Black",NA,NA,19,21,40,40,40,"medium","No"
"179","3","2","1","2","1","2","1",4,0,5,5,"1","Border Collie",0,"3","5","Black","Cream","White",19,21,40,40,40,"medium","No"
"180","2","2","2","1","1","1","1",1,200,0,1,"1","Border Collie",0,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"181","2","2","2","1","1","1","1",1,30,1,10,"1","Border Collie",1,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"182","1","2","3","3","3","1","1",1,0,0,3,"1","Border Collie",2,"2","7","Black","White",NA,19,21,40,40,40,"medium","No"
"183","2","2","3","1","1","1","1",1,0,0,1,"1","Border Collie",0,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"184","2","2","2","1","1","1","1",1,0,0,3,"1","Border Collie",1,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"185","2","2","2","1","1","3","1",4,0,0,5,"1","Border Collie",2,"3","5","Black","Brown","White",19,21,40,40,40,"medium","No"
"186","2","2","2","2","2","2","1",1,200,0,5,"1","Border Collie",0,"3","6","Black","Cream","White",19,21,40,40,40,"medium","No"
"187","2","2","2","2","2","2","1",1,200,0,5,"1","Border Collie",0,"2","6","Black","White",NA,19,21,40,40,40,"medium","No"
"188","2","2","2","1","1","1","1",1,0,0,1,"1","Border Collie",2,"2","3","Brown","White",NA,19,21,40,40,40,"medium","No"
"189","2","2","2","2","2","2","1",1,200,0,8,"1","Border Collie",0,"3","6","Black","Brown","Cream",19,21,40,40,40,"medium","No"
"190","2","2","3","1","1","1","1",1,0,0,14,"1","Border Collie",1,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"191","2","2","2","2","1","2","1",1,0,0,9,"1","Border Collie",0,"3","5","Black","Cream","White",19,21,40,40,40,"medium","No"
"192","2","2","1","1","1","1","1",1,0,0,3,"1","Border Collie",2,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"193","2","2","3","1","1","1","1",1,0,0,2,"1","Border Collie",2,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"194","2","2","1","2","2","2","1",1,0,0,5,"1","Border Collie",0,"2","6","Black","White",NA,19,21,40,40,40,"medium","No"
"195","2","2","2","1","1","1","1",1,0,0,1,"1","Border Collie",5,"2","3","Black","White",NA,19,21,40,40,40,"medium","No"
"196","1","2","3","2","1","1","1",1,0,0,2,"1","Border Collie",2,"2","4","Black","White",NA,19,21,40,40,40,"medium","No"
"197","2","2","1","1","1","1","1",1,0,0,8,"1","Border Collie",1,"3","3","Black","Brown","White",19,21,40,40,40,"medium","No"
