"","Type","Gender","Color1","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","PhotoAmt","AdoptionSpeed","AgeYears","NumColors","AllMeds","purebreed","euth_risk"
"28","Dog","Male","Black","Small","Medium","Yes","Yes","No","Healthy",2,0,1,"1",0,"2","4","Yes","Low"
"29","Dog","Mixed","Black","Small","Medium","Yes","Yes","Yes","Healthy",2,0,1,"4",7,"2","3","Yes","High"
"30","Dog","Male","Golden","Medium","Medium","Yes","Yes","No","Healthy",1,0,1,"4",3,"3","4","Yes","High"
"31","Dog","Female","Brown","Large","Long","Yes","Yes","No","Healthy",1,0,3,"3",0,"2","4","Yes","Medium"
"32","Dog","Female","Cream","Small","Medium","Not Sure","Yes","Not Sure","Healthy",1,100,4,"3",2,"1","7","Yes","Medium"
"33","Dog","Male","Black","Medium","Medium","No","Yes","No","Healthy",1,0,3,"2",0,"1","5","Yes","Medium"
"34","Dog","Female","Brown","Large","Medium","Yes","Yes","Yes","Healthy",1,0,7,"3",0,"1","3","Yes","Medium"
"35","Dog","Male","Brown","Medium","Medium","No","No","Yes","Minor Injury",1,0,1,"4",4,"1","5","Yes","High"
"36","Dog","Female","Brown","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,4,"2",0,"2","8","Yes","Medium"
"37","Dog","Female","Black","Small","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,4,"4",0,"3","9","Yes","High"
"38","Dog","Female","Brown","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,4,"3",0,"2","8","Yes","Medium"
"39","Dog","Male","Black","Small","Short","Not Sure","Not Sure","Not Sure","Minor Injury",1,0,3,"0",1,"3","9","Yes","Low"
"40","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,4,"3",3,"3","9","Yes","Medium"
"41","Dog","Female","Brown","Medium","Medium","No","Yes","No","Healthy",1,0,8,"3",0,"2","5","Yes","Medium"
"42","Dog","Female","Brown","Medium","Short","Not Sure","Yes","Not Sure","Healthy",1,0,1,"1",2,"2","7","Yes","Low"
"43","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,0,3,"1",3,"3","4","Yes","Low"
"44","Dog","Female","Brown","Medium","Short","Yes","Yes","No","Healthy",1,0,4,"3",1,"3","4","Yes","Medium"
"45","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,300,3,"2",5,"3","3","Yes","Medium"
"46","Dog","Female","Brown","Medium","Short","Yes","Yes","Yes","Healthy",1,0,21,"3",7,"2","3","Yes","Medium"
"47","Dog","Male","Brown","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"3",8,"3","3","Yes","Medium"
"48","Dog","Male","Brown","Medium","Short","Yes","Yes","No","Healthy",2,0,1,"1",10,"1","4","Yes","Low"
"49","Dog","Male","Brown","Medium","Short","Yes","Yes","No","Healthy",1,0,0,"3",2,"3","4","Yes","Medium"
"50","Dog","Female","Brown","Medium","Short","Yes","Yes","Yes","Healthy",1,0,10,"0",2,"2","3","Yes","Low"
"51","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,5,"2",5,"3","3","Yes","Medium"
"52","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,300,1,"1",0,"3","9","Yes","Low"
"53","Dog","Female","Black","Medium","Medium","Yes","Yes","No","Healthy",1,0,2,"2",6,"3","4","Yes","Medium"
"54","Dog","Male","Black","Medium","Medium","No","Yes","No","Minor Injury",1,0,5,"1",5,"3","5","Yes","Low"
"55","Dog","Male","Brown","Medium","Short","Not Sure","Not Sure","Yes","Healthy",1,300,4,"3",5,"2","7","Yes","Medium"
"56","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,300,1,"3",2,"3","3","Yes","Medium"
"57","Dog","Male","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,500,0,"4",4,"3","3","Yes","High"
"58","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,8,"4",5,"2","3","Yes","High"
"59","Dog","Female","Cream","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"4",5,"1","3","Yes","High"
"60","Dog","Female","Brown","Medium","Medium","Yes","Yes","No","Healthy",1,0,1,"1",0,"2","4","Yes","Low"
"61","Dog","Mixed","Black","Medium","Short","No","Yes","Not Sure","Healthy",3,0,4,"2",0,"2","6","Yes","Medium"
"62","Dog","Female","Black","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,1,"1",3,"3","5","Yes","Low"
"63","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","Not Sure","Minor Injury",1,0,1,"1",2,"3","9","Yes","Low"
"64","Dog","Male","Black","Small","Medium","Yes","Yes","Not Sure","Healthy",1,0,4,"1",4,"2","5","Yes","Low"
"65","Dog","Male","Brown","Medium","Short","Yes","Yes","No","Healthy",1,0,1,"2",5,"3","4","Yes","Medium"
"66","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,300,1,"3",2,"3","4","Yes","Medium"
"67","Dog","Female","Brown","Medium","Short","Yes","Yes","No","Healthy",1,0,3,"3",0,"2","4","Yes","Medium"
"68","Dog","Male","Black","Medium","Medium","Yes","No","No","Healthy",1,0,4,"1",9,"3","5","Yes","Low"
"69","Dog","Male","Brown","Medium","Short","No","No","No","Healthy",1,0,5,"1",4,"1","6","Yes","Low"
"70","Dog","Male","Brown","Medium","Short","Yes","Yes","No","Healthy",1,400,1,"3",3,"2","4","Yes","Medium"
"71","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,1,"1",2,"3","8","Yes","Low"
"72","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,3,"4",1,"3","3","Yes","High"
"73","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,600,1,"3",0,"3","4","Yes","Medium"
"74","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,3,"3",2,"2","3","Yes","Medium"
"75","Dog","Male","Black","Medium","Medium","Not Sure","Yes","Not Sure","Healthy",1,0,3,"1",3,"3","7","Yes","Low"
"76","Dog","Male","Black","Large","Short","Not Sure","Not Sure","Yes","Healthy",1,0,5,"3",5,"3","7","Yes","Medium"
"77","Dog","Female","Black","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,2,"0",1,"3","5","Yes","Low"
"78","Dog","Female","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,11,"4",2,"3","3","Yes","High"
"79","Dog","Female","Golden","Medium","Short","Yes","Yes","No","Healthy",1,0,1,"3",9,"2","4","Yes","Medium"
"80","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,2,"3",2,"3","9","Yes","Medium"
"81","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,0,5,"1",0,"3","4","Yes","Low"
"82","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,0,1,"2",1,"3","4","Yes","Medium"
"83","Dog","Female","Black","Medium","Short","Yes","Yes","No","Healthy",1,100,0,"0",2,"3","4","Yes","Low"
"84","Dog","Female","Cream","Medium","Short","Yes","Yes","Yes","Healthy",1,0,3,"0",0,"2","3","Yes","Low"
"85","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,1,"3",2,"3","9","Yes","Medium"
"86","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,100,1,"4",7,"3","3","Yes","High"
"87","Dog","Female","Black","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,4,"0",1,"3","5","Yes","Low"
"88","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,3,"4",10,"3","3","Yes","High"
"89","Dog","Male","Black","Medium","Short","Yes","Yes","Not Sure","Healthy",1,80,1,"1",5,"3","5","Yes","Low"
"90","Dog","Male","Black","Small","Short","Yes","Yes","Yes","Healthy",1,0,7,"3",5,"3","3","Yes","Medium"
"91","Dog","Female","Brown","Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,0,"3",6,"3","5","Yes","Medium"
"92","Dog","Male","Brown","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"3",6,"2","3","Yes","Medium"
"93","Dog","Male","Black","Medium","Medium","Not Sure","Not Sure","No","Healthy",1,0,1,"2",3,"3","8","Yes","Medium"
"94","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,350,1,"4",3,"3","3","Yes","High"
"95","Dog","Male","Brown","Small","Short","No","Yes","No","Healthy",1,0,2,"0",0,"2","5","Yes","Low"
"96","Dog","Female","Black","Medium","Short","No","No","No","Healthy",1,0,2,"2",1,"3","6","Yes","Medium"
"97","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,1,"1",2,"3","3","Yes","Low"
"98","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,5,"3",2,"2","3","Yes","Medium"
"99","Dog","Mixed","Brown","Small","Short","No","No","Yes","Healthy",2,0,3,"2",0,"3","5","Yes","Medium"
"100","Dog","Female","Black","Medium","Short","Yes","Yes","No","Healthy",1,0,3,"2",2,"3","4","Yes","Medium"
"101","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,550,3,"4",3,"3","4","Yes","High"
"102","Dog","Male","Black","Medium","Short","No","No","No","Minor Injury",1,200,4,"1",4,"3","6","Yes","Low"
"103","Dog","Male","Black","Medium","Long","Yes","Not Sure","Yes","Healthy",1,200,3,"2",0,"2","5","Yes","Medium"
"104","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"1",4,"3","3","Yes","Low"
"105","Dog","Female","Brown","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,1,"3",6,"3","9","Yes","Medium"
"106","Dog","Male","Black","Medium","Medium","Yes","Yes","No","Healthy",1,0,1,"3",6,"3","4","Yes","Medium"
"107","Dog","Male","Black","Medium","Medium","No","No","No","Healthy",1,0,1,"4",6,"3","6","Yes","High"
"108","Dog","Male","Brown","Large","Medium","Yes","Not Sure","Not Sure","Healthy",1,0,2,"1",1,"2","7","Yes","Low"
"109","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,300,1,"3",2,"3","4","Yes","Medium"
"110","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,350,2,"2",3,"3","9","Yes","Medium"
"111","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,250,6,"3",5,"3","3","Yes","Medium"
"112","Dog","Male","Black","Medium","Short","Not Sure","Not Sure","Yes","Healthy",1,0,3,"1",3,"3","7","Yes","Low"
"113","Dog","Male","Brown","Small","Short","No","No","No","Healthy",1,0,2,"1",0,"2","6","Yes","Low"
"114","Dog","Female","Brown","Medium","Short","No","Yes","No","Healthy",1,0,7,"2",0,"2","5","Yes","Medium"
"115","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,3,"2",1,"3","3","Yes","Medium"
"116","Dog","Female","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,1,"3",6,"3","3","Yes","Medium"
"117","Dog","Female","Brown","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,3,"3",0,"1","8","Yes","Medium"
"118","Dog","Mixed","Black","Medium","Short","No","Yes","No","Healthy",2,0,3,"3",0,"3","5","Yes","Medium"
"119","Dog","Female","Brown","Medium","Short","Yes","Yes","Not Sure","Healthy",1,120,8,"3",0,"1","5","Yes","Medium"
"120","Dog","Female","Black","Medium","Short","Yes","No","Not Sure","Healthy",1,200,3,"1",2,"3","6","Yes","Low"
"121","Dog","Male","Brown","Small","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,0,"0",2,"2","9","Yes","Low"
"122","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,500,10,"3",1,"3","3","Yes","Medium"
"123","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,250,3,"2",3,"2","3","Yes","Medium"
"124","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,200,3,"2",7,"3","3","Yes","Medium"
"125","Dog","Male","Brown","Medium","Short","Yes","Yes","Yes","Healthy",1,0,1,"1",2,"3","3","Yes","Low"
"126","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"1",3,"3","3","Yes","Low"
"127","Dog","Male","Black","Medium","Medium","Not Sure","No","Not Sure","Healthy",1,0,2,"1",4,"3","8","Yes","Low"
"128","Dog","Female","Black","Small","Short","Yes","Yes","Yes","Healthy",1,300,1,"1",1,"3","3","Yes","Low"
"129","Dog","Male","Black","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,5,"3",0,"3","9","Yes","Medium"
"130","Dog","Female","Black","Medium","Short","Yes","Yes","No","Healthy",1,0,3,"3",0,"3","4","Yes","Medium"
"131","Dog","Male","Brown","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,4,"4",2,"2","8","Yes","High"
"132","Dog","Male","Brown","Medium","Short","No","Yes","No","Healthy",1,0,1,"1",0,"1","5","Yes","Low"
"133","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,5,"3",1,"2","3","Yes","Medium"
"134","Dog","Male","Golden","Medium","Short","Yes","Not Sure","Yes","Healthy",1,0,2,"4",2,"2","5","Yes","High"
"135","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"4",1,"3","3","Yes","High"
"136","Dog","Male","Brown","Medium","Medium","No","Yes","No","Healthy",1,0,0,"4",6,"3","5","Yes","High"
"137","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,4,"3",7,"3","3","Yes","Medium"
"138","Cat","Male","Black","Medium","Short","No","No","No","Healthy",5,0,5,"3",0,"3","6","Yes","Medium"
"139","Dog","Female","Brown","Small","Long","Yes","Yes","Yes","Minor Injury",1,250,2,"2",4,"1","3","Yes","Medium"
"140","Dog","Mixed","Black","Medium","Medium","No","No","No","Healthy",6,0,1,"1",0,"3","6","Yes","Low"
"141","Dog","Male","Brown","Medium","Medium","Not Sure","Yes","No","Healthy",1,0,1,"2",5,"1","6","Yes","Medium"
"142","Dog","Female","Brown","Large","Medium","Yes","Yes","No","Healthy",1,0,1,"1",1,"1","4","Yes","Low"
"143","Cat","Female","Gray","Small","Short","No","Yes","No","Healthy",1,0,2,"4",0,"1","5","Yes","High"
"144","Cat","Mixed","Black","Medium","Short","No","No","No","Healthy",2,0,0,"4",0,"3","6","Yes","High"
"145","Dog","Female","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,250,9,"4",2,"2","3","Yes","High"
"146","Dog","Male","Black","Large","Short","Yes","Yes","No","Healthy",1,0,4,"3",0,"2","4","Yes","Medium"
"147","Dog","Female","Black","Medium","Medium","Yes","Not Sure","Yes","Healthy",1,0,3,"2",0,"2","5","Yes","Medium"
"148","Dog","Male","Brown","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,3,"3",0,"1","8","Yes","Medium"
"149","Dog","Male","Black","Large","Short","Yes","Yes","No","Healthy",1,0,5,"3",0,"2","4","Yes","Medium"
"150","Dog","Male","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,3,"2",0,"2","8","Yes","Medium"
"151","Dog","Female","Black","Large","Medium","Yes","Yes","Yes","Minor Injury",1,600,4,"4",7,"2","3","Yes","High"
"152","Dog","Male","Brown","Large","Short","Not Sure","Not Sure","No","Minor Injury",1,0,3,"2",5,"1","8","Yes","Medium"
"153","Dog","Female","Black","Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,3,"1",0,"2","5","Yes","Low"
"154","Dog","Female","Brown","Medium","Medium","Yes","Yes","No","Healthy",1,0,4,"4",6,"1","4","Yes","High"
"155","Dog","Female","Black","Extra Large","Short","Yes","Yes","No","Healthy",1,0,3,"3",0,"2","4","Yes","Medium"
"156","Dog","Male","Black","Medium","Medium","Yes","Yes","No","Healthy",1,0,4,"2",0,"3","4","Yes","Medium"
"157","Dog","Female","Black","Medium","Medium","Not Sure","Not Sure","No","Healthy",1,0,4,"2",0,"2","8","Yes","Medium"
"158","Dog","Male","Black","Large","Short","Yes","Yes","No","Healthy",1,0,1,"1",0,"3","4","Yes","Low"
"159","Dog","Female","Black","Medium","Short","Yes","No","No","Healthy",1,100,1,"1",0,"3","5","Yes","Low"
"160","Dog","Male","Brown","Medium","Medium","Yes","Yes","Not Sure","Healthy",1,0,3,"4",2,"1","5","Yes","High"
"161","Dog","Female","Black","Large","Medium","Not Sure","Not Sure","Not Sure","Healthy",1,0,1,"1",3,"2","9","Yes","Low"
"162","Dog","Female","Brown","Extra Large","Medium","Yes","Not Sure","No","Healthy",1,0,1,"1",0,"1","6","Yes","Low"
"163","Dog","Male","Black","Large","Short","Yes","Yes","No","Healthy",1,0,3,"3",0,"2","4","Yes","Medium"
"164","Dog","Female","Black","Medium","Medium","Yes","Yes","No","Healthy",1,150,6,"1",0,"3","4","Yes","Low"
"165","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,0,3,"1",0,"2","4","Yes","Low"
"166","Dog","Male","Brown","Large","Medium","Yes","Yes","Yes","Healthy",1,0,1,"2",1,"1","3","Yes","Medium"
"167","Dog","Mixed","Black","Medium","Medium","No","No","No","Healthy",8,0,15,"1",0,"3","6","Yes","Low"
"168","Dog","Male","Black","Medium","Short","Yes","Yes","Not Sure","Healthy",1,0,2,"1",0,"3","5","Yes","Low"
"169","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,13,"1",3,"3","3","Yes","Low"
"170","Dog","Male","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,4,"3",0,"2","8","Yes","Medium"
"171","Dog","Male","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,2,"2",0,"1","8","Yes","Medium"
"172","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,3,"3",0,"2","8","Yes","Medium"
"173","Dog","Female","Black","Medium","Short","Yes","Yes","No","Healthy",1,0,4,"2",0,"2","4","Yes","Medium"
"174","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,4,"2",0,"1","8","Yes","Medium"
"175","Dog","Male","Black","Medium","Short","No","No","No","Healthy",1,0,1,"1",0,"2","6","Yes","Low"
"176","Dog","Male","Black","Medium","Long","Yes","Yes","No","Healthy",1,0,0,"4",2,"2","4","Yes","High"
"177","Dog","Female","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,2,"2",0,"1","8","Yes","Medium"
"178","Dog","Male","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,2,"3",0,"2","8","Yes","Medium"
"179","Dog","Male","Black","Medium","Short","No","Yes","No","Healthy",1,0,4,"2",0,"3","5","Yes","Medium"
"180","Dog","Male","Black","Medium","Short","No","Yes","No","Healthy",1,0,3,"2",0,"2","5","Yes","Medium"
"181","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",1,100,6,"2",0,"2","4","Yes","Medium"
"182","Dog","Male","Black","Medium","Medium","Yes","Yes","No","Healthy",1,0,2,"3",0,"2","4","Yes","Medium"
"183","Dog","Male","Black","Medium","Medium","No","No","No","Healthy",1,200,5,"2",0,"1","6","Yes","Medium"
"184","Dog","Mixed","Black","Medium","Short","No","Yes","No","Healthy",4,0,5,"1",0,"3","5","Yes","Low"
"185","Dog","Female","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,200,1,"3",0,"2","3","Yes","Medium"
"186","Dog","Female","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,30,10,"3",1,"2","3","Yes","Medium"
"187","Dog","Male","Black","Medium","Long","Not Sure","Not Sure","Yes","Healthy",1,0,3,"1",2,"2","7","Yes","Low"
"188","Dog","Female","Black","Medium","Long","Yes","Yes","Yes","Healthy",1,0,1,"4",0,"2","3","Yes","High"
"189","Dog","Female","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,3,"3",1,"2","3","Yes","Medium"
"190","Dog","Female","Black","Medium","Medium","Yes","Yes","Not Sure","Healthy",4,0,5,"1",2,"3","5","Yes","Low"
"191","Dog","Female","Black","Medium","Medium","No","No","No","Healthy",1,200,5,"1",0,"3","6","Yes","Low"
"192","Dog","Female","Black","Medium","Medium","No","No","No","Healthy",1,200,5,"2",0,"2","6","Yes","Medium"
"193","Dog","Female","Brown","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,1,"3",2,"2","3","Yes","Medium"
"194","Dog","Female","Black","Medium","Medium","No","No","No","Healthy",1,200,8,"2",0,"3","6","Yes","Medium"
"195","Dog","Female","Black","Medium","Long","Yes","Yes","Yes","Healthy",1,0,14,"3",1,"2","3","Yes","Medium"
"196","Dog","Female","Black","Medium","Medium","No","Yes","No","Healthy",1,0,9,"3",0,"3","5","Yes","Medium"
"197","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,3,"4",2,"2","3","Yes","High"
"198","Dog","Female","Black","Medium","Long","Yes","Yes","Yes","Healthy",1,0,2,"4",2,"2","3","Yes","High"
"199","Dog","Female","Black","Medium","Short","No","No","No","Healthy",1,0,5,"3",0,"2","6","Yes","Medium"
"200","Dog","Female","Black","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,1,"1",5,"2","3","Yes","Low"
"201","Dog","Male","Black","Medium","Long","No","Yes","Yes","Healthy",1,0,2,"1",2,"2","4","Yes","Low"
"202","Dog","Female","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,8,"4",1,"3","3","Yes","High"
"203","Dog","Mixed","Black","Medium","Medium","Not Sure","Not Sure","Not Sure","Healthy",6,0,7,"2",0,"3","9","Yes","Medium"
"204","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",2,0,8,"2",0,"3","4","Yes","Medium"
"205","Dog","Male","Black","Medium","Short","Yes","Yes","No","Healthy",2,0,6,"3",0,"2","4","Yes","Medium"
"206","Dog","Female","Yellow","Medium","Medium","No","Yes","Yes","Healthy",1,100,2,"3",2,"3","4","Yes","Medium"
"207","Dog","Female","Brown","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,3,"2",1,"2","3","Yes","Medium"
"208","Dog","Female","Black","Small","Short","Yes","Yes","Yes","Healthy",1,350,5,"3",2,"2","3","Yes","Medium"
"209","Dog","Male","Cream","Medium","Short","Yes","Yes","Yes","Healthy",1,0,3,"4",1,"1","3","Yes","High"
"210","Dog","Female","Yellow","Small","Short","No","Yes","No","Healthy",1,300,9,"2",0,"2","5","Yes","Medium"
"211","Dog","Female","Black","Small","Short","Yes","Yes","Yes","Healthy",1,250,3,"2",1,"2","3","Yes","Medium"
"212","Dog","Female","Black","Small","Medium","Yes","Yes","No","Healthy",1,350,9,"1",0,"2","4","Yes","Low"
"213","Dog","Male","Black","Large","Short","Yes","Yes","Yes","Healthy",1,0,10,"3",3,"3","3","Yes","Medium"
"214","Dog","Female","Black","Large","Short","Not Sure","No","Not Sure","Healthy",2,450,5,"4",0,"3","8","Yes","High"
"215","Dog","Male","Black","Large","Short","Yes","Yes","No","Healthy",1,0,1,"2",1,"3","4","Yes","Medium"
"216","Dog","Female","Golden","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,2,"1",0,"2","8","Yes","Low"
"217","Dog","Female","Brown","Large","Short","Yes","Yes","No","Healthy",2,0,3,"2",5,"3","4","Yes","Medium"
"218","Dog","Male","Black","Medium","Short","Not Sure","Not Sure","No","Healthy",1,0,2,"2",0,"2","8","Yes","Medium"
"219","Dog","Female","Brown","Medium","Short","Yes","Yes","Yes","Healthy",1,0,2,"4",1,"2","3","Yes","High"
"220","Dog","Mixed","Brown","Small","Short","No","No","No","Healthy",2,150,1,"1",0,"1","6","Yes","Low"
"221","Dog","Female","Brown","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,2,"4",1,"1","9","Yes","High"
"222","Dog","Female","Brown","Medium","Medium","Yes","Yes","Yes","Healthy",1,0,4,"4",1,"3","3","Yes","High"
"223","Dog","Male","Brown","Medium","Medium","No","No","No","Healthy",1,0,3,"2",0,"2","6","Yes","Medium"
"224","Dog","Female","White","Medium","Short","Not Sure","Not Sure","Not Sure","Healthy",1,0,1,"4",7,"1","9","Yes","High"
"225","Dog","Male","Black","Medium","Short","Yes","Yes","Yes","Healthy",1,0,4,"3",4,"3","3","Yes","Medium"
