"","Type","Age","Gender","Color1","MaturitySize","FurLength","Vaccinated","Dewormed","Sterilized","Health","Quantity","Fee","PhotoAmt","MainBreed","has_name","pure_breed","High"
"7086","2",7,"1","1",1,1,"1","1","1",1,1,10,1,"Dom Short Hair","1","1",0
"13276","1",1,"2","5",1,1,"2","2","2",1,1,0,4,"Mixed Breed","1","0",0
"10512","1",6,"1","2",2,1,"1","1","2",1,1,0,8,"Mixed Breed","1","0",0
"7816","2",3,"1","4",2,1,"2","2","2",1,3,0,5,"Dom Short Hair","1","1",1
"6538","2",19,"2","1",2,1,"1","1","1",1,1,0,2,"Dom Short Hair","1","1",0
"7877","2",5,"1","1",3,2,"2","1","2",1,1,50,5,"Maine Coon","1","1",0
"7298","2",5,"1","1",2,1,"2","1","1",1,1,0,5,"Dom Short Hair","1","1",0
"4747","2",1,"1","4",1,1,"2","1","2",1,1,0,2,"Dom Short Hair","1","1",0
"16498","2",1,"2","3",2,2,"1","1","2",1,1,0,7,"Dom Medium Hair","1","1",NA
"14337","1",2,"2","2",2,3,"1","1","2",1,1,0,5,"Mixed Breed","1","0",0
"8649","2",2,"2","2",2,1,"2","1","2",1,1,0,3,"Tabby","1","1",0
"15993","2",2,"1","1",2,2,"2","1","2",1,1,50,2,"Dom Short Hair","1","1",NA
"2366","2",4,"2","3",2,2,"2","1","2",2,1,0,0,"Balinese","1","1",0
"4491","2",3,"1","1",1,1,"2","2","2",1,2,0,2,"Dom Short Hair","0","1",1
"6586","2",3,"2","1",1,1,"2","2","2",1,1,0,4,"Dom Short Hair","1","1",0
"17658","2",24,"1","6",2,2,"2","2","2",1,1,200,4,"Dom Medium Hair","1","1",NA
"10410","1",12,"2","2",2,1,"1","1","1",1,1,0,3,"Mixed Breed","1","0",0
"5012","2",2,"1","2",1,1,"1","1","2",1,1,50,1,"Dom Short Hair","1","1",1
"4672","2",5,"1","1",1,2,"1","1","2",1,1,0,3,"Dom Short Hair","1","1",0
"3348","2",2,"2","1",2,2,"2","2","2",1,1,50,5,"Dom Medium Hair","1","1",1
"7917","2",9,"2","1",2,3,"1","1","2",1,1,10,3,"Nebelung","1","1",0
"13182","1",1,"1","1",2,2,"2","1","2",1,1,0,1,"Mixed Breed","1","0",0
"17881","1",3,"3","1",2,1,"2","2","2",1,5,0,1,"Mixed Breed","0","0",NA
"14389","1",2,"1","1",2,1,"1","1","2",1,1,0,6,"Mixed Breed","1","0",0
"14164","1",14,"2","1",2,1,"1","1","2",1,1,0,1,"Mixed Breed","1","0",0
"10763","1",2,"2","1",2,2,"3","3","1",1,1,0,3,"Mixed Breed","1","0",0
"13517","1",2,"2","2",1,1,"3","3","3",1,1,0,1,"Mixed Breed","1","0",0
"18326","1",96,"2","5",3,3,"2","2","1",1,1,0,0,"Terrier","1","1",NA
"13911","1",2,"1","1",2,2,"2","1","2",1,1,0,5,"Mixed Breed","1","0",1
"10548","1",2,"1","1",2,2,"2","2","2",1,1,0,5,"Mixed Breed","1","0",1
"2688","2",2,"3","4",3,3,"2","2","2",1,4,0,5,"Dom Long Hair","1","1",0
"4007","2",3,"1","7",1,2,"2","1","2",1,1,0,28,"Dom Medium Hair","1","1",0
"18335","1",21,"2","3",2,1,"1","1","1",1,1,0,4,"Pit Bull Terrier","1","1",NA
"8684","2",5,"2","1",1,1,"1","1","2",1,1,0,3,"Tabby","1","1",1
"7675","2",24,"2","1",2,1,"1","1","2",1,1,0,2,"Dom Short Hair","1","1",0
"12948","1",2,"3","5",2,1,"2","2","2",1,6,0,5,"Mixed Breed","1","0",0
"16686","2",2,"2","1",1,1,"2","1","2",1,4,0,13,"Tabby","1","1",NA
"5648","2",4,"1","3",2,2,"2","2","2",1,1,0,1,"Dom Short Hair","1","1",0
"11217","1",3,"2","1",2,1,"2","2","2",1,2,0,2,"Mixed Breed","1","0",0
"16056","1",36,"2","1",2,1,"1","1","1",1,1,150,3,"Mixed Breed","1","0",NA
"7540","2",3,"1","4",2,1,"2","1","2",1,1,0,4,"Dom Short Hair","1","1",0
"11511","1",10,"1","1",2,1,"1","1","1",1,1,0,6,"Mixed Breed","1","0",0
"15176","2",3,"2","1",1,1,"2","1","2",1,1,0,5,"Dom Short Hair","1","1",NA
"11210","1",12,"1","2",3,1,"1","1","1",1,1,0,2,"Mixed Breed","1","0",0
"11525","1",8,"2","2",1,1,"2","1","2",1,1,0,2,"Mixed Breed","1","0",0
"17236","1",2,"1","2",1,3,"3","1","2",1,2,0,0,"Shih Tzu","1","1",NA
"13779","1",2,"2","2",2,2,"2","1","2",1,1,0,9,"Mixed Breed","1","0",1
"1070","1",96,"1","3",2,1,"1","1","3",1,1,0,4,"Labrador Retriever","1","1",1
"4084","2",9,"2","1",2,2,"2","2","2",1,1,0,2,"Dom Medium Hair","1","1",0
"11796","1",2,"3","2",1,1,"2","2","2",1,9,0,1,"Mixed Breed","0","0",1
"16082","1",1,"2","2",2,2,"2","2","2",1,5,0,3,"Mixed Breed","1","0",NA
"10689","1",4,"2","1",3,1,"2","1","2",1,1,0,20,"Mixed Breed","1","0",0
"8698","2",2,"2","2",1,1,"2","1","2",1,1,0,5,"Tabby","1","1",1
"8998","2",12,"2","5",2,3,"1","1","1",1,1,0,5,"Turkish Angora","1","1",1
"9771","1",2,"2","2",2,2,"1","1","2",1,1,0,2,"Mixed Breed","1","0",1
"4669","2",2,"1","4",1,1,"2","1","2",1,1,0,5,"Dom Short Hair","1","1",0
"10643","1",9,"2","2",2,1,"1","1","1",1,1,0,11,"Mixed Breed","1","0",0
"17014","1",6,"2","2",3,1,"1","1","2",1,2,100,4,"Mixed Breed","1","0",NA
"3498","2",2,"3","1",2,2,"2","1","2",1,3,0,8,"Dom Medium Hair","1","1",1
"2574","2",3,"2","1",2,2,"2","1","2",1,1,80,5,"Calico","1","1",1
"10042","1",2,"2","2",2,2,"2","1","2",1,1,0,5,"Mixed Breed","1","0",1
"7683","2",6,"1","4",1,2,"2","2","2",1,1,0,3,"Dom Short Hair","1","1",0
"10170","1",2,"1","4",2,1,"1","1","2",1,1,0,4,"Mixed Breed","1","0",1
"6476","2",12,"1","6",2,1,"2","1","1",1,1,0,3,"Dom Short Hair","1","1",0
"7728","2",10,"1","2",3,1,"3","3","3",1,1,0,2,"Dom Short Hair","1","1",1
"6826","2",1,"3","1",1,1,"2","2","2",1,2,0,2,"Dom Short Hair","0","1",0
"18736","2",0,"3","2",1,1,"3","3","3",1,3,0,0,"Dom Short Hair","1","1",NA
"3623","2",4,"1","1",2,2,"1","1","1",1,1,0,10,"Dom Medium Hair","1","1",0
"17628","2",3,"1","1",2,1,"2","2","2",1,1,0,3,"Dom Short Hair","1","1",NA
"703","1",50,"1","3",3,3,"1","1","2",1,1,0,3,"Golden Retriever","1","1",1
"1543","1",24,"2","1",3,1,"1","1","2",1,1,600,2,"Rottweiler","1","1",0
"1043","1",3,"2","2",3,1,"1","1","2",1,1,0,5,"Labrador Retriever","1","1",0
"177","1",3,"2","1",2,1,"3","3","2",1,1,0,2,"Black Labrador Retriever","1","1",1
"17329","2",1,"2","1",1,2,"2","2","2",1,2,0,5,"Dom Long Hair","1","1",NA
"11394","1",12,"2","2",2,2,"3","1","3",1,1,0,8,"Mixed Breed","1","0",1
"18928","2",2,"2","3",1,2,"2","2","2",1,1,0,4,"Dom Medium Hair","1","1",NA
"16054","1",24,"2","2",2,1,"1","1","1",1,1,150,1,"Mixed Breed","1","0",NA
"5260","2",3,"3","1",1,1,"2","2","2",1,2,0,5,"Dom Short Hair","1","1",0
"13695","1",2,"2","6",2,2,"1","1","2",1,1,0,4,"Mixed Breed","1","0",0
"9097","1",1,"2","1",2,2,"2","1","2",1,1,0,1,"Mixed Breed","1","0",0
"15489","1",3,"2","1",3,1,"3","3","3",1,2,0,14,"Labrador Retriever","1","1",NA
"5231","2",3,"3","2",1,1,"2","1","2",2,2,10,2,"Dom Short Hair","1","1",1
"16781","1",50,"2","5",2,1,"1","1","1",1,1,0,2,"Mixed Breed","1","0",NA
"11051","1",2,"3","2",1,1,"2","2","2",1,3,0,4,"Mixed Breed","1","0",1
"7465","2",4,"2","6",2,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"16460","2",2,"1","1",1,2,"3","1","3",1,1,0,8,"Tabby","1","1",NA
"1349","1",20,"2","5",2,2,"3","3","3",1,1,450,2,"Poodle","1","1",1
"11205","1",8,"2","7",2,3,"1","1","1",1,1,0,4,"Mixed Breed","1","0",1
"9173","1",4,"2","1",2,2,"2","1","2",1,1,1,1,"Mixed Breed","1","0",0
"10813","1",4,"2","1",2,2,"1","1","2",1,2,0,2,"Mixed Breed","1","0",1
"12218","1",2,"1","1",2,2,"1","1","2",1,1,150,3,"Mixed Breed","1","0",0
"15584","2",2,"1","1",2,1,"1","1","2",1,1,0,6,"Tabby","1","1",NA
"1398","1",5,"1","5",2,2,"1","1","3",1,1,0,1,"Poodle","1","1",1
"7048","2",8,"2","2",2,1,"1","1","2",1,5,100,1,"Dom Short Hair","1","1",0
"16045","1",12,"1","2",2,2,"1","1","1",1,1,150,1,"Golden Retriever","1","1",NA
"14573","1",12,"1","2",2,2,"1","1","1",1,1,0,4,"Mixed Breed","1","0",0
"2146","1",2,"2","1",2,2,"3","3","2",1,1,0,3,"Terrier","1","1",0
"3235","2",3,"2","6",1,2,"2","2","2",1,1,0,12,"Dom Medium Hair","1","1",1
"11981","1",2,"1","1",2,1,"3","3","2",1,1,0,1,"Mixed Breed","1","0",1
"15234","2",1,"1","1",1,1,"2","1","2",1,1,80,6,"Dom Short Hair","1","1",NA
"17079","2",2,"1","4",2,2,"2","1","2",1,1,0,4,"Dom Medium Hair","1","1",NA
"5353","2",11,"2","2",2,1,"1","1","1",1,1,0,3,"Dom Short Hair","1","1",0
"13487","1",255,"1","2",2,2,"3","3","3",1,1,0,1,"Mixed Breed","1","0",0
"9096","1",36,"2","1",2,1,"1","1","1",1,5,0,1,"Mixed Breed","1","0",0
"17436","1",108,"1","3",1,1,"1","1","1",1,1,0,2,"Miniature Pinscher","1","1",NA
"13324","1",4,"2","5",2,1,"1","1","2",1,1,0,6,"Mixed Breed","1","0",0
"17405","1",11,"2","1",3,1,"1","1","2",1,1,800,5,"Siberian Husky","1","1",NA
"12932","1",24,"1","7",2,1,"3","3","3",2,1,20,1,"Mixed Breed","0","0",0
"1835","1",48,"1","1",1,2,"3","1","2",1,1,0,1,"Shih Tzu","1","1",0
"4848","2",5,"2","1",2,1,"2","1","2",1,1,0,1,"Dom Short Hair","1","1",1
"9841","1",2,"1","1",2,2,"2","1","2",1,3,0,14,"Mixed Breed","1","0",1
"4216","2",1,"3","1",1,1,"2","2","2",1,3,0,1,"Dom Short Hair","1","1",1
"755","1",6,"2","3",3,3,"1","1","2",1,1,0,1,"Golden Retriever","1","1",1
"9101","1",12,"2","2",2,1,"1","1","1",1,1,0,3,"Mixed Breed","1","0",0
"15715","2",12,"2","6",2,2,"1","1","1",1,1,0,3,"Dom Short Hair","1","1",NA
"14288","1",3,"1","1",2,1,"1","1","2",1,1,0,7,"Mixed Breed","1","0",0
"737","1",36,"1","5",3,2,"3","3","2",2,1,0,5,"Golden Retriever","1","1",1
"18923","2",42,"2","2",2,1,"1","1","2",1,2,0,2,"Bengal","1","1",NA
"1351","1",96,"1","3",2,2,"2","1","2",1,1,0,2,"Poodle","1","1",0
"12856","1",19,"2","1",1,1,"2","1","2",1,1,0,4,"Mixed Breed","1","0",1
"10061","1",3,"2","7",2,2,"2","2","2",1,1,0,30,"Mixed Breed","1","0",1
"9138","1",3,"3","2",2,1,"3","3","3",1,5,0,1,"Mixed Breed","1","0",0
"10200","1",2,"3","1",2,2,"1","1","2",1,13,0,5,"Mixed Breed","1","0",1
"83","1",24,"2","1",2,1,"1","1","2",1,1,100,0,"Beagle","0","1",1
"13601","1",7,"2","2",2,2,"2","2","1",1,1,0,1,"Mixed Breed","1","0",0
"8532","2",24,"2","2",2,2,"1","1","1",1,1,0,2,"Siamese","1","1",1
"17897","1",132,"2","2",1,2,"3","3","3",1,1,0,3,"Shih Tzu","1","1",NA
"735","1",36,"2","2",2,2,"1","1","1",1,1,0,23,"Golden Retriever","1","1",0
"16319","1",1,"3","1",2,1,"2","2","2",1,2,0,4,"Mixed Breed","0","0",NA
"6014","2",1,"2","1",2,1,"2","2","2",1,1,0,6,"Dom Short Hair","1","1",0
"12944","1",12,"2","1",2,1,"1","1","1",1,1,0,3,"Mixed Breed","1","0",1
"2414","2",6,"2","2",2,2,"1","1","3",1,1,0,6,"Bengal","1","1",0
"14259","1",2,"3","5",2,1,"1","1","2",1,2,0,6,"Mixed Breed","1","0",0
"7795","2",4,"1","7",1,1,"2","2","2",1,1,0,4,"Dom Short Hair","0","1",0
"10642","1",24,"2","1",1,2,"1","1","1",1,1,100,3,"Mixed Breed","1","0",0
"10925","1",3,"1","2",2,1,"2","1","2",1,1,0,4,"Mixed Breed","1","0",1
"4229","2",4,"2","1",2,1,"1","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"9586","1",36,"1","1",2,1,"2","2","2",1,1,0,1,"Mixed Breed","1","0",0
"697","1",22,"1","3",3,3,"1","1","2",1,1,0,1,"Golden Retriever","1","1",0
"4261","2",1,"3","1",2,2,"2","2","2",1,3,0,4,"Dom Short Hair","0","1",1
"10427","1",2,"2","1",2,2,"2","1","2",1,1,0,4,"Mixed Breed","1","0",0
"15682","2",24,"1","1",2,1,"2","1","1",1,1,0,1,"Dom Short Hair","1","1",NA
"17381","1",1,"1","2",2,1,"2","1","2",1,1,0,5,"Mixed Breed","1","0",NA
"1198","1",48,"2","1",2,1,"1","1","1",1,1,0,3,"Miniature Pinscher","1","1",0
"15592","1",1,"2","1",2,1,"2","2","2",1,1,0,2,"Mixed Breed","1","0",NA
"18325","1",24,"2","5",2,3,"1","1","2",1,1,100,2,"Spitz","1","1",NA
"7517","2",1,"2","2",2,1,"2","1","2",1,1,0,9,"Dom Short Hair","1","1",1
"7365","2",2,"1","2",1,1,"2","2","2",1,1,0,2,"Dom Short Hair","1","1",1
"8784","2",1,"1","6",2,2,"2","2","2",1,1,0,3,"Tabby","1","1",1
"18001","1",6,"2","1",1,1,"3","3","3",1,1,0,5,"Mixed Breed","1","0",NA
"11196","1",2,"1","1",1,1,"2","2","2",1,3,0,1,"Mixed Breed","1","0",0
"15089","2",36,"2","1",2,1,"1","1","1",1,1,0,2,"Tabby","1","1",NA
"3588","2",2,"3","1",2,2,"2","2","2",1,15,0,8,"Dom Medium Hair","1","1",0
"16646","1",8,"1","2",1,1,"1","1","2",1,1,50,3,"Chihuahua","1","1",NA
"18384","2",3,"3","1",2,2,"1","2","1",1,4,0,10,"Dom Long Hair","1","1",NA
"18280","2",2,"3","1",2,1,"2","2","2",1,4,0,8,"Dom Short Hair","1","1",NA
"16597","2",9,"1","3",2,3,"1","1","2",1,1,650,5,"Amer Curl","1","1",NA
"6773","2",12,"2","3",1,1,"1","1","1",1,1,0,2,"Dom Short Hair","1","1",0
"6157","2",2,"1","1",2,1,"2","2","2",1,1,0,4,"Dom Short Hair","1","1",0
"5393","2",3,"3","1",1,1,"2","2","1",1,5,0,5,"Dom Short Hair","1","1",0
"15641","2",1,"2","2",2,2,"2","2","2",1,1,20,5,"Tabby","1","1",NA
"5423","2",2,"1","1",2,1,"2","2","2",1,1,50,3,"Dom Short Hair","1","1",1
"3402","2",2,"2","1",1,2,"2","2","2",1,1,0,1,"Dom Medium Hair","1","1",1
"3539","2",2,"1","1",2,2,"2","2","2",1,1,0,5,"Dom Medium Hair","0","1",1
"8729","2",2,"2","2",2,2,"2","2","2",1,1,100,2,"Tabby","1","1",1
"17691","1",18,"1","2",2,1,"1","1","1",1,1,0,1,"Poodle","1","1",NA
"6842","2",4,"2","6",2,2,"2","2","1",1,1,0,3,"Dom Short Hair","1","1",1
"5237","2",2,"2","2",2,1,"1","1","2",1,1,100,8,"Dom Short Hair","1","1",0
"248","1",1,"2","2",2,1,"2","2","2",1,1,0,4,"Bullmastiff","1","1",1
"14434","1",1,"1","1",2,2,"2","1","2",1,1,0,4,"Mixed Breed","1","0",1
"15936","1",1,"3","1",2,2,"2","2","2",1,4,0,4,"Mixed Breed","1","0",NA
"17879","1",84,"1","2",2,1,"1","1","1",1,1,0,1,"Beagle","1","1",NA
"13735","1",1,"1","2",2,2,"3","3","3",1,1,0,2,"Mixed Breed","1","0",1
"16261","2",6,"1","1",2,1,"2","1","2",1,1,0,4,"Dom Short Hair","1","1",NA
"5594","2",3,"2","1",1,1,"2","1","2",1,1,0,5,"Dom Short Hair","1","1",1
"1766","1",15,"1","1",1,1,"1","1","2",1,1,0,1,"Shih Tzu","1","1",0
"26","1",17,"2","1",2,2,"1","1","3",1,1,100,1,"Australian Shepherd","1","1",0
"6928","2",2,"1","1",2,1,"2","2","2",1,2,0,3,"Dom Short Hair","1","1",1
"5589","2",108,"1","1",2,1,"3","3","1",1,1,0,10,"Dom Short Hair","1","1",0
"15331","1",1,"1","1",2,1,"1","1","2",1,1,0,4,"Mixed Breed","1","0",NA
"10717","1",0,"3","1",1,1,"2","2","2",1,8,0,2,"Mixed Breed","1","0",0
"14614","1",7,"2","7",2,1,"2","2","1",1,1,0,5,"Mixed Breed","1","0",0
"7276","2",4,"1","4",2,1,"1","1","2",1,1,0,11,"Dom Short Hair","1","1",1
"14325","1",6,"2","2",2,1,"1","1","1",1,1,0,1,"Mixed Breed","1","0",0
"8033","2",3,"1","2",1,2,"2","2","2",1,1,200,1,"Persian","0","1",1
"1453","1",12,"1","2",1,2,"1","1","2",1,1,0,4,"Poodle","1","1",0
"11963","1",36,"1","3",1,2,"1","1","1",1,1,0,2,"Mixed Breed","1","0",0
